,Position,Driver,Car,Laps,Time,Points
24,1,Tony Brooks,Ferrari,50,2:01:26.500,8
26,2,Phil Hill,Ferrari,50,+27.500s,6
8,3,Jack Brabham,Cooper Climax,50,+97.700s,4
22,4,Olivier  Gendebien,Ferrari,50,+107.500s,3
12,5,Bruce McLaren,Cooper Climax,50,+107.700s,2
44,6,Ron Flockhart,BRM,50,+125.700s,0
6,7,Harry Schell,BRM,47,+3 laps,0
2,DQ,Stirling Moss,BRM,42,DSQ,1
40,8,Giorgio  Scarlatti ,Maserati,41,+9 laps,0
42,9,Carel Godin de Beaufort ,Maserati,40,+10 laps,0
38,10,Fritz d'Orey,Maserati,40,+10 laps,0
14,11,Maurice  Trintignant,Cooper Climax,36,+14 laps,0
30,NC,Jean Behra,Ferrari,31,DNF,0
16,NC,Roy Salvadori,Cooper Maserati,20,DNF,0
28,NC,Dan Gurney,Ferrari,19,DNF,0
34,NC,Innes Ireland,Lotus Climax,14,DNF,0
18,NC,Ian Burgess ,Cooper Maserati,13,DNF,0
10,NC,Masten Gregory,Cooper Climax,8,DNF,0
32,NC,Graham Hill,Lotus Climax,7,DNF,0
20,NC,Colin  Davis ,Cooper Maserati,7,DNF,0
4,NC,Jo Bonnier,BRM,6,DNF,0
