,Position,Driver,Car,Time / Gap,Laps
3,1,Michael Schumacher,Ferrari,1:21.088,27
2,2,David Coulthard,McLaren Mercedes,+0.282s,26
4,3,Rubens Barrichello,Ferrari,+0.284s,22
1,4,Mika Hakkinen,McLaren Mercedes,+0.505s,19
9,5,Ralf Schumacher,Williams BMW,+0.516s,18
6,6,Jarno Trulli,Jordan Mugen Honda,+0.823s,21
5,7,Heinz-Harald Frentzen,Jordan Mugen Honda,+1.074s,26
18,8,Pedro de la Rosa,Arrows Supertec,+1.118s,29
22,9,Jacques Villeneuve,BAR Honda,+1.298s,29
10,10,Jenson Button,Williams BMW,+1.377s,26
19,11,Jos Verstappen,Arrows Supertec,+1.380s,20
11,12,Giancarlo Fisichella,Benetton Playlife,+1.405s,22
8,13,Johnny Herbert,Jaguar Cosworth,+1.517s,22
7,14,Eddie Irvine,Jaguar Cosworth,+1.554s,20
17,15,Mika Salo,Sauber Petronas,+1.661s,22
15,16,Nick Heidfeld,Prost Peugeot,+1.722s,35
14,17,Jean Alesi,Prost Peugeot,+1.727s,25
12,18,Alexander Wurz,Benetton Playlife,+1.856s,26
16,19,Pedro Diniz,Sauber Petronas,+2.085s,24
20,20,Marc Gene,Minardi Fondmetal,+2.556s,15
23,21,Ricardo Zonta,BAR Honda,+2.854s,27
21,22,Gaston Mazzacane,Minardi Fondmetal,+3.778s,30
