,Position,Driver,Car,Time,Laps
3,1,Michael Schumacher,Ferrari,1:20.974,10
1,2,Mika Hakkinen,McLaren Mercedes,1:21.052,11
4,3,Rubens Barrichello,Ferrari,1:21.416,11
2,4,David Coulthard,McLaren Mercedes,1:21.422,11
9,5,Ralf Schumacher,Williams BMW,1:21.605,12
22,6,Jacques Villeneuve,BAR Honda,1:21.963,12
6,7,Jarno Trulli,Jordan Mugen Honda,1:22.006,12
5,8,Heinz-Harald Frentzen,Jordan Mugen Honda,1:22.135,12
18,9,Pedro de la Rosa,Arrows Supertec,1:22.185,12
7,10,Eddie Irvine,Jaguar Cosworth,1:22.370,11
10,11,Jenson Button,Williams BMW,1:22.385,12
19,12,Jos Verstappen,Arrows Supertec,1:22.421,12
17,13,Mika Salo,Sauber Petronas,1:22.443,12
11,14,Giancarlo Fisichella,Benetton Playlife,1:22.569,11
8,15,Johnny Herbert,Jaguar Cosworth,1:22.781,12
16,16,Pedro Diniz,Sauber Petronas,1:22.841,12
23,17,Ricardo Zonta,BAR Honda,1:22.882,12
14,18,Jean Alesi,Prost Peugeot,1:22.894,6
12,19,Alexander Wurz,Benetton Playlife,1:23.010,12
15,20,Nick Heidfeld,Prost Peugeot,1:23.033,10
20,21,Marc Gene,Minardi Fondmetal,1:23.486,11
21,22,Gaston Mazzacane,Minardi Fondmetal,1:24.257,12
