,Position,Driver,Car,Time / Gap,Laps
5,1,Michael Schumacher,Ferrari,1:30.788,12
6,2,Felipe Massa,Ferrari,+0.305s,10
7,3,Ralf Schumacher,Toyota,+0.607s,21
17,4,Jacques Villeneuve,Sauber BMW,+0.743s,13
2,5,Giancarlo Fisichella,Renault,+0.796s,12
1,6,Fernando Alonso,Renault,+1.019s,14
12,7,Jenson Button,Honda,+1.316s,16
15,8,Christian Klien,RBR Ferrari,+1.409s,13
20,9,Vitantonio Liuzzi,STR Cosworth,+1.502s,17
3,10,Kimi Räikkönen,McLaren Mercedes,+1.532s,11
10,11,Nico Rosberg,Williams Cosworth,+1.671s,15
21,12,Scott Speed,STR Cosworth,+1.717s,18
11,13,Rubens Barrichello,Honda,+1.746s,18
9,14,Mark Webber,Williams Cosworth,+1.923s,16
16,15,Nick Heidfeld,Sauber BMW,+1.985s,16
14,16,David Coulthard,RBR Ferrari,+1.991s,15
4,17,Juan Pablo Montoya,McLaren Mercedes,+2.201s,12
8,18,Jarno Trulli,Toyota,+2.332s,24
18,19,Tiago Monteiro,MF1 Toyota,+2.956s,19
19,20,Christijan Albers,MF1 Toyota,+3.681s,21
23,21,Franck Montagny,Super Aguri Honda,+4.918s,20
22,22,Takuma Sato,Super Aguri Honda,+5.294s,15
