,Position,Driver,Car,Lap,Time,Avg Speed
5,1,Michael Schumacher,Ferrari,39,1:32.099,201.226
3,2,Kimi Räikkönen,McLaren Mercedes,43,1:32.472,200.415
1,3,Fernando Alonso,Renault,37,1:32.532,200.285
2,4,Giancarlo Fisichella,Renault,46,1:32.964,199.354
6,5,Felipe Massa,Ferrari,19,1:33.099,199.065
4,6,Juan Pablo Montoya,McLaren Mercedes,47,1:33.571,198.061
10,7,Nico Rosberg,Williams Cosworth,48,1:33.579,198.044
7,8,Ralf Schumacher,Toyota,27,1:33.607,197.985
11,9,Rubens Barrichello,Honda,59,1:33.952,197.258
8,10,Jarno Trulli,Toyota,58,1:33.953,197.256
16,11,Nick Heidfeld,Sauber BMW,47,1:34.035,197.084
17,12,Jacques Villeneuve,Sauber BMW,38,1:34.037,197.079
12,13,Jenson Button,Honda,9,1:34.042,197.069
21,14,Scott Speed,STR Cosworth,57,1:34.091,196.966
15,15,Christian Klien,RBR Ferrari,16,1:34.553,196.004
9,16,Mark Webber,Williams Cosworth,11,1:35.415,194.233
19,17,Christijan Albers,MF1 Toyota,35,1:35.428,194.207
18,18,Tiago Monteiro,MF1 Toyota,41,1:35.504,194.052
22,19,Takuma Sato,Super Aguri Honda,26,1:36.706,191.640
23,20,Franck Montagny,Super Aguri Honda,21,1:37.214,190.639
14,21,David Coulthard,RBR Ferrari,2,2:24.500,128.254
