,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Fernando Alonso,Renault,1:31.138,1:30.336,1:29.819,20
5,2,Michael Schumacher,Ferrari,1:31.235,1:30.013,1:30.028,19
6,3,Felipe Massa,Ferrari,1:31.921,1:30.732,1:30.407,21
11,4,Rubens Barrichello,Honda,1:31.671,1:30.469,1:30.754,20
3,5,Kimi Räikkönen,McLaren Mercedes,1:31.263,1:30.203,1:30.933,20
12,6,Jenson Button,Honda,1:31.420,1:30.755,1:30.940,23
8,7,Jarno Trulli,Toyota,1:31.809,1:30.733,1:31.419,26
4,8,Juan Pablo Montoya,McLaren Mercedes,1:31.774,1:30.671,1:31.880,22
9,9,Mark Webber,Williams Cosworth,1:31.712,1:30.892,1:33.405,20
17,10,Jacques Villeneuve,Sauber BMW,1:31.545,1:30.865,1:36.998,22
7,11,Ralf Schumacher,Toyota,1:31.470,1:30.944,,13
10,12,Nico Rosberg,Williams Cosworth,1:32.053,1:31.194,,7
2,13,Giancarlo Fisichella,Renault,1:31.574,1:31.197,,9
14,14,David Coulthard,RBR Ferrari,1:31.742,1:31.227,,13
16,15,Nick Heidfeld,Sauber BMW,1:31.457,1:31.422,,9
20,16,Vitantonio Liuzzi,STR Cosworth,1:32.621,1:31.728,,12
15,17,Christian Klien,RBR Ferrari,1:32.901,,,7
19,18,Christijan Albers,MF1 Toyota,1:32.936,,,5
21,19,Scott Speed,STR Cosworth,1:32.992,,,7
18,20,Tiago Monteiro,MF1 Toyota,1:33.658,,,6
22,21,Takuma Sato,Super Aguri Honda,1:35.239,,,4
23,22,Franck Montagny,Super Aguri Honda,1:46.505,,,4
