,Position,Driver,Car,Time / Gap
1,1,Ayrton Senna,McLaren Honda,1:26.868
27,2,Nigel Mansell,Ferrari,+0.312s
6,3,Riccardo Patrese,Williams Renault,+0.850s
7,4,Martin Brundle,Brabham Judd,+1.311s
20,5,Johnny Herbert,Benetton Ford,+1.358s
11,6,Nelson Piquet,Lotus Judd,+1.499s
23,7,Pierluigi Martini,Minardi Ford,+2.544s
28,8,Gerhard Berger,Ferrari,+2.888s
19,9,Alessandro Nannini,Benetton Ford,+3.090s
2,10,Alain Prost,McLaren Honda,+3.182s
16,11,Ivan Capelli,March Judd,+3.191s
3,12,Jonathan  Palmer,Tyrrell Ford,+3.232s
22,13,Andrea de Cesaris,Dallara Ford,+3.583s
12,14,Satoru Nakajima,Lotus Judd,+4.044s
5,15,Thierry Boutsen,Williams Renault,+4.265s
9,16,Derek Warwick,Arrows Ford,+4.467s
15,17,Mauricio Gugelmin,March Judd,+4.568s
17,18,Nicola Larini,Osella Ford,+4.641s
38,19,Christian Danner,Rial Ford,+4.967s
33,20,Gregor Foitek,Euro Brun Judd,+5.723s
10,21,Eddie  Cheever,Arrows Ford,+6.090s
25,22,Rene Arnoux,Ligier Ford,+6.534s
34,23,Bernd Schneider,Zakspeed Yamaha,+7.247s
26,24,Olivier Grouillard,Ligier Ford,+7.706s
29,25,Yannick Dalmas,Lola Lamborghini,+7.876s
8,26,Stefano Modena,Brabham Judd,+8.307s
4,27,Michele Alboreto,Tyrrell Ford,+8.563s
30,28,Philippe Alliot,Lola Lamborghini,+8.636s
31,29,Roberto Moreno,Coloni Ford,+9.132s
24,30,Luis Perez-Sala,Minardi Ford,+9.512s
