,Position,Driver,Car,Lap,Time
6,1,Riccardo Patrese,Williams Renault,47,1:32.507
19,2,Alessandro Nannini,Benetton Ford,42,1:33.361
1,3,Ayrton Senna,McLaren Honda,55,1:33.685
9,4,Derek Warwick,Arrows Ford,41,1:33.699
15,5,Mauricio Gugelmin,March Judd,46,1:33.774
27,6,Nigel Mansell,Ferrari,57,1:33.948
20,7,Johnny Herbert,Benetton Ford,45,1:34.164
16,8,Ivan Capelli,March Judd,18,1:34.479
7,9,Martin Brundle,Brabham Judd,26,1:35.286
3,10,Jonathan  Palmer,Tyrrell Ford,43,1:35.327
2,11,Alain Prost,McLaren Honda,17,1:35.341
22,12,Andrea de Cesaris,Dallara Ford,40,1:35.402
5,13,Thierry Boutsen,Williams Renault,2,1:35.696
26,14,Olivier Grouillard,Ligier Ford,46,1:35.807
38,15,Christian Danner,Rial Ford,43,1:36.199
10,16,Eddie  Cheever,Arrows Ford,22,1:36.394
4,17,Michele Alboreto,Tyrrell Ford,58,1:36.747
12,18,Satoru Nakajima,Lotus Judd,41,1:36.932
8,19,Stefano Modena,Brabham Judd,7,1:37.470
11,20,Nelson Piquet,Lotus Judd,3,1:37.665
34,21,Bernd Schneider,Zakspeed Yamaha,20,1:37.789
17,22,Nicola Larini,Osella Ford,5,1:38.682
30,23,Philippe Alliot,Lola Lamborghini,41,1:38.740
23,24,Pierluigi Martini,Minardi Ford,2,1:46.060
