,Position,Driver,Car,Time / Gap
2,1,Alain Prost,McLaren Honda,1:28.360
28,2,Gerhard Berger,Ferrari,+0.264s
8,3,Stefano Modena,Brabham Judd,+0.569s
7,4,Martin Brundle,Brabham Judd,+0.923s
5,5,Thierry Boutsen,Williams Renault,+1.100s
6,6,Riccardo Patrese,Williams Renault,+1.181s
1,7,Ayrton Senna,McLaren Honda,+1.396s
19,8,Alessandro Nannini,Benetton Ford,+1.544s
16,9,Ivan Capelli,March Judd,+1.575s
22,10,Andrea de Cesaris,Dallara Ford,+2.275s
20,11,Johnny Herbert,Benetton Ford,+2.486s
15,12,Mauricio Gugelmin,March Judd,+2.754s
27,13,Nigel Mansell,Ferrari,+2.917s
24,14,Luis Perez-Sala,Minardi Ford,+2.939s
30,15,Philippe Alliot,Lola Lamborghini,+3.565s
9,16,Derek Warwick,Arrows Ford,+4.162s
38,17,Christian Danner,Rial Ford,+4.184s
3,18,Jonathan  Palmer,Tyrrell Ford,+4.332s
10,19,Eddie  Cheever,Arrows Ford,+4.789s
29,20,Yannick Dalmas,Lola Lamborghini,+5.260s
12,21,Satoru Nakajima,Lotus Judd,+5.441s
33,22,Gregor Foitek,Euro Brun Judd,+5.530s
23,23,Pierluigi Martini,Minardi Ford,+5.568s
11,24,Nelson Piquet,Lotus Judd,+5.759s
17,25,Nicola Larini,Osella Ford,+5.936s
25,26,Rene Arnoux,Ligier Ford,+6.785s
4,27,Michele Alboreto,Tyrrell Ford,+6.995s
26,28,Olivier Grouillard,Ligier Ford,+7.017s
31,29,Roberto Moreno,Coloni Ford,+7.372s
