,Position,Driver,Car,Q1,Q2,Q3,Laps
55,1,Carlos Sainz,Ferrari,1:35.297,1:35.590,1:34.356,14
16,2,Charles Leclerc,Ferrari,1:35.795,1:35.246,1:34.421,14
1,3,Max Verstappen,Red Bull Racing RBPT,1:35.864,1:35.294,1:34.448,15
11,4,Sergio Perez,Red Bull Racing RBPT,1:36.163,1:35.864,1:34.645,12
44,5,Lewis Hamilton,Mercedes,1:36.148,1:35.732,1:34.947,18
63,6,George Russell,Mercedes,1:36.195,1:35.692,1:34.988,19
18,7,Lance Stroll,Aston Martin Aramco Mercedes,1:36.860,1:36.032,1:35.598,15
4,8,Lando Norris,McLaren Mercedes,1:36.465,1:36.341,1:35.690,18
14,9,Fernando Alonso,Alpine Renault,1:36.446,1:35.988,1:35.876,17
77,10,Valtteri Bottas,Alfa Romeo Ferrari,1:36.746,1:36.321,1:36.319,18
23,11,Alexander Albon,Williams Mercedes,1:36.932,1:36.368,,15
5,12,Sebastian Vettel,Aston Martin Aramco Mercedes,1:36.695,1:36.398,,12
10,13,Pierre Gasly,AlphaTauri RBPT,1:36.577,1:36.740,,11
24,14,Guanyu Zhou,Alfa Romeo Ferrari,1:36.656,1:36.970,,15
22,15,Yuki Tsunoda,AlphaTauri RBPT,1:36.808,1:37.147,,12
20,16,Kevin Magnussen,Haas Ferrari,1:36.949,,,8
3,17,Daniel Ricciardo,McLaren Mercedes,1:37.046,,,6
31,18,Esteban Ocon,Alpine Renault,1:37.068,,,6
47,19,Mick Schumacher,Haas Ferrari,1:37.111,,,8
6,20,Nicholas Latifi,Williams Mercedes,1:37.244,,,8
