,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
63,1,George Russell,Mercedes,56,1:38.788,200.902,15:46:36
1,2,Max Verstappen,Red Bull Racing RBPT,37,1:39.541,199.383,15:14:07
11,3,Sergio Perez,Red Bull Racing RBPT,44,1:39.563,199.339,15:25:54
16,4,Charles Leclerc,Ferrari,37,1:39.731,199.003,15:14:06
44,5,Lewis Hamilton,Mercedes,45,1:39.830,198.805,15:27:25
31,6,Esteban Ocon,Alpine Renault,49,1:41.243,196.031,15:35:12
4,7,Lando Norris,McLaren Mercedes,49,1:41.322,195.878,15:34:51
5,8,Sebastian Vettel,Aston Martin Aramco Mercedes,39,1:41.538,195.461,15:17:21
10,9,Pierre Gasly,AlphaTauri RBPT,55,1:41.674,195.200,15:45:21
14,10,Fernando Alonso,Alpine Renault,51,1:41.804,194.951,15:38:13
22,11,Yuki Tsunoda,AlphaTauri RBPT,36,1:42.206,194.184,15:12:44
47,12,Mick Schumacher,Haas Ferrari,55,1:42.320,193.967,15:45:27
24,13,Guanyu Zhou,Alfa Romeo Ferrari,39,1:42.394,193.827,15:17:50
3,14,Daniel Ricciardo,McLaren Mercedes,55,1:42.420,193.778,15:45:39
23,15,Alexander Albon,Williams Mercedes,46,1:42.471,193.682,15:29:50
20,16,Kevin Magnussen,Haas Ferrari,35,1:42.546,193.540,15:10:48
18,17,Lance Stroll,Aston Martin Aramco Mercedes,3,1:43.080,192.537,14:08:50
77,18,Valtteri Bottas,Alfa Romeo Ferrari,4,1:43.391,191.958,14:10:43
6,19,Nicholas Latifi,Williams Mercedes,54,1:43.485,191.784,15:44:02
