,Position,Driver,Car,Time / Gap
8,1,Ayrton Senna,McLaren Ford,1:18.133
2,2,Alain Prost,Williams Renault,+0.320s
5,3,Michael Schumacher,Benetton Ford,+0.478s
0,4,Damon Hill,Williams Renault,+0.799s
7,5,Michael Andretti,McLaren Ford,+1.351s
12,6,Johnny Herbert,Lotus Ford,+2.102s
20,7,Erik Comas,Larrousse Lamborghini,+2.522s
25,8,Martin Brundle,Ligier Renault,+2.532s
19,9,Philippe Alliot,Larrousse Lamborghini,+2.687s
29,10,Karl Wendlinger,Sauber,+2.747s
6,11,Riccardo Patrese,Benetton Ford,+2.877s
26,12,Mark Blundell,Ligier Renault,+2.881s
30,13,Jyrki Jarvilehto,Sauber,+3.161s
3,14,Ukyo Katayama,Tyrrell Yamaha,+3.284s
27,15,Jean Alesi,Ferrari,+3.314s
15,16,Ivan Capelli,Jordan Hart,+3.433s
14,17,Rubens Barrichello,Jordan Hart,+3.954s
24,18,Fabrizio Barbazza,Minardi Ford,+3.970s
10,19,Aguri Suzuki,Footwork Mugen Honda,+4.034s
11,20,Alessandro Zanardi,Lotus Ford,+4.284s
4,21,Andrea de Cesaris,Tyrrell Yamaha,+4.789s
9,22,Derek Warwick,Footwork Mugen Honda,+5.873s
21,23,Michele Alboreto,Lola Ferrari,+6.609s
28,24,Gerhard Berger,Ferrari,+7.172s
22,25,Luca Badoer,Lola Ferrari,+9.192s
23,26,Christian Fittipaldi,Minardi Ford,+15.947s
