,Position,Driver,Car,Time
2,1,Alain Prost,Williams Renault,1:15.696
8,2,Ayrton Senna,McLaren Ford,1:15.784
5,3,Michael Schumacher,Benetton Ford,1:17.261
0,4,Damon Hill,Williams Renault,1:17.592
27,5,Jean Alesi,Ferrari,1:18.234
30,6,Jyrki Jarvilehto,Sauber,1:18.664
6,7,Riccardo Patrese,Benetton Ford,1:18.676
26,8,Mark Blundell,Ligier Renault,1:18.687
7,9,Michael Andretti,McLaren Ford,1:18.786
29,10,Karl Wendlinger,Sauber,1:18.950
19,11,Philippe Alliot,Larrousse Lamborghini,1:19.034
25,12,Martin Brundle,Ligier Renault,1:19.138
23,13,Christian Fittipaldi,Minardi Ford,1:19.285
14,14,Rubens Barrichello,Jordan Hart,1:19.305
28,15,Gerhard Berger,Ferrari,1:19.386
11,16,Alessandro Zanardi,Lotus Ford,1:19.396
12,17,Johnny Herbert,Lotus Ford,1:19.498
15,18,Ivan Capelli,Jordan Hart,1:19.759
20,19,Erik Comas,Larrousse Lamborghini,1:20.081
10,20,Aguri Suzuki,Footwork Mugen Honda,1:20.237
3,21,Ukyo Katayama,Tyrrell Yamaha,1:20.401
9,22,Derek Warwick,Footwork Mugen Honda,1:20.402
4,23,Andrea de Cesaris,Tyrrell Yamaha,1:20.660
24,24,Fabrizio Barbazza,Minardi Ford,1:20.994
21,25,Michele Alboreto,Lola Ferrari,1:21.893
22,26,Luca Badoer,Lola Ferrari,1:24.737
