,Position,Driver,Car,Laps,Time,Points
12,1,Jacky Ickx,Ferrari,60,1:42:17.320,9
27,2,Clay Regazzoni,Ferrari,60,+0.610s,6
11,3,Rolf Stommelen,Brabham Ford,60,+87.880s,4
17,4,Pedro Rodriguez,BRM,59,+1 lap,3
16,5,Jackie Oliver,BRM,59,+1 lap,2
19,6,Jean-Pierre Beltoise,Matra,59,+1 lap,1
14,7,Ignazio  Giunti ,Ferrari,59,+1 lap,0
4,8,Chris Amon,March Ford,59,+1 lap,0
3,9,Jo Siffert,March Ford,59,+1 lap,0
23,10,Peter  Gethin ,McLaren Ford,59,+1 lap,0
18,11,George Eaton,BRM,58,+2 laps,0
22,12,Andrea de Adamich ,McLaren Alfa Romeo,57,+3 laps,0
10,13,Jack Brabham,Brabham Ford,56,+4 laps,0
20,14,Henri Pescarolo,Matra,56,+4 laps,0
8,15,Emerson Fittipaldi,Lotus Ford,55,+5 laps,0
21,NC,Denny Hulme,McLaren Ford,30,DNF,0
15,NC,John Surtees,Surtees Ford,27,DNF,0
26,NC,Tim   Schenken,De Tomaso Ford,25,DNF,0
6,NC,Jochen Rindt,Lotus Ford,21,DNF,0
24,NC,Silvio  Moser ,Bellasi Ford,13,DNF,0
5,NC,Mario Andretti,March Ford,13,DNF,0
1,NC,Jackie Stewart,March Ford,7,DNF,0
7,NC,John   Miles,Lotus Ford,4,DNF,0
2,NC,Francois  Cevert ,March Ford,0,DNF,0
