,Position,Driver,Car,Laps,Time,Points
1,1,Fernando Alonso,Renault,57,1:29:46.205,10
5,2,Michael Schumacher,Ferrari,57,+1.246s,8
3,3,Kimi Räikkönen,McLaren Mercedes,57,+19.360s,6
12,4,Jenson Button,Honda,57,+19.992s,5
4,5,Juan Pablo Montoya,McLaren Mercedes,57,+37.048s,4
9,6,Mark Webber,Williams Cosworth,57,+41.932s,3
10,7,Nico Rosberg,Williams Cosworth,57,+63.043s,2
15,8,Christian Klien,RBR Ferrari,57,+66.771s,1
6,9,Felipe Massa,Ferrari,57,+69.907s,0
14,10,David Coulthard,RBR Ferrari,57,+75.541s,0
20,11,Vitantonio Liuzzi,STR Cosworth,57,+85.997s,0
16,12,Nick Heidfeld,Sauber BMW,56,+1 lap,0
21,13,Scott Speed,STR Cosworth,56,+1 lap,0
7,14,Ralf Schumacher,Toyota,56,+1 lap,0
11,15,Rubens Barrichello,Honda,56,+1 lap,0
8,16,Jarno Trulli,Toyota,56,+1 lap,0
18,17,Tiago Monteiro,MF1 Toyota,55,+2 laps,0
22,18,Takuma Sato,Super Aguri Honda,53,+4 laps,0
23,NC,Yuji Ide,Super Aguri Honda,35,DNF,0
17,NC,Jacques Villeneuve,Sauber BMW,29,DNF,0
2,NC,Giancarlo Fisichella,Renault,21,DNF,0
19,NC,Christijan Albers,MF1 Toyota,0,DNF,0
