,Position,Driver,Car,Lap,Time,Avg Speed
10,1,Nico Rosberg,Williams Cosworth,42,1:32.408,210.838
5,2,Michael Schumacher,Ferrari,38,1:32.523,210.576
1,3,Fernando Alonso,Renault,21,1:32.534,210.551
9,4,Mark Webber,Williams Cosworth,25,1:32.660,210.265
12,5,Jenson Button,Honda,39,1:32.729,210.109
6,6,Felipe Massa,Ferrari,28,1:32.739,210.086
4,7,Juan Pablo Montoya,McLaren Mercedes,21,1:32.771,210.013
3,8,Kimi Räikkönen,McLaren Mercedes,29,1:32.864,209.803
21,9,Scott Speed,STR Cosworth,45,1:33.108,209.253
15,10,Christian Klien,RBR Ferrari,40,1:33.212,209.020
14,11,David Coulthard,RBR Ferrari,26,1:33.376,208.653
20,12,Vitantonio Liuzzi,STR Cosworth,26,1:33.480,208.421
17,13,Jacques Villeneuve,Sauber BMW,20,1:33.694,207.945
16,14,Nick Heidfeld,Sauber BMW,26,1:33.772,207.772
11,15,Rubens Barrichello,Honda,14,1:33.840,207.621
7,16,Ralf Schumacher,Toyota,25,1:34.112,207.021
2,17,Giancarlo Fisichella,Renault,15,1:34.320,206.564
8,18,Jarno Trulli,Toyota,24,1:34.852,205.406
18,19,Tiago Monteiro,MF1 Toyota,41,1:35.940,203.076
22,20,Takuma Sato,Super Aguri Honda,17,1:37.104,200.642
23,21,Yuji Ide,Super Aguri Honda,11,1:38.302,198.197
