,Position,Driver,Car,Laps,Time,Points
24,1,Jack Brabham,Cooper Climax,100,2:55:51.300,9
50,2,Tony Brooks,Ferrari,100,+20.400s,6
32,3,Maurice  Trintignant,Cooper Climax,98,+2 laps,4
48,4,Phil Hill,Ferrari,97,+3 laps,3
22,5,Bruce McLaren,Cooper Climax,96,+4 laps,2
38,6,Roy Salvadori,Cooper Maserati,83,DNF,0
30,NC,Stirling Moss,Cooper Climax,81,DNF,0
20,NC,Ron Flockhart,BRM,64,DNF,0
16,NC,Harry Schell,BRM,48,DNF,0
18,NC,Jo Bonnier,BRM,44,DNF,0
46,NC,Jean Behra,Ferrari,24,DNF,0
40,NC,Graham Hill,Lotus Climax,21,DNF,0
26,NC,Masten Gregory,Cooper Climax,6,DNF,0
44,NC,Bruce  Halford ,Lotus Climax,1,DNF,0
52,NC,Cliff Allison,Ferrari,1,DNF,0
6,NC,Wolfgang von Trips,Porsche,1,DNF,0
