,Position,Driver,Car,Time
6,1,Riccardo Patrese,Williams Renault,1:15.476
15,1,Gabriele Tarquini,Fondmetal Ford,1:22.412
5,2,Nigel Mansell,Williams Renault,1:15.643
14,2,Eric van de Poele,Fondmetal Ford,1:23.398
30,3,Ukyo Katayama,Venturi Lamborghini,1:24.421
1,3,Ayrton Senna,McLaren Honda,1:16.267
19,4,Michael Schumacher,Benetton Ford,1:16.524
34,4,Roberto Moreno,Moda Judd,1:25.567
35,5,Perry McCarthy,Moda Judd,DNC
2,5,Gerhard Berger,McLaren Honda,1:17.277
20,6,Martin Brundle,Benetton Ford,1:18.148
9,7,Michele Alboreto,Footwork Mugen Honda,1:18.604
25,8,Thierry Boutsen,Ligier Renault,1:18.618
27,9,Jean Alesi,Ferrari,1:18.665
28,10,Ivan Capelli,Ferrari,1:18.765
26,11,Erik Comas,Ligier Renault,1:18.902
12,13,Johnny Herbert,Lotus Ford,1:19.143
10,14,Aguri Suzuki,Footwork Mugen Honda,1:19.200
29,15,Bertrand Gachot,Venturi Lamborghini,1:19.365
11,16,Mika Hakkinen,Lotus Ford,1:19.587
17,17,Paul Belmondo,March Ilmor,1:19.626
4,19,Andrea de Cesaris,Tyrrell Ilmor,1:19.867
33,21,Mauricio Gugelmin,Jordan Yamaha,1:20.023
3,22,Olivier Grouillard,Tyrrell Ilmor,1:20.063
16,23,Karl Wendlinger,March Ilmor,1:20.315
32,24,Stefano Modena,Jordan Yamaha,1:20.707
8,25,Damon Hill,Brabham Judd,1:20.781
22,26,Pierluigi Martini,Dallara Ferrari,1:20.988
24,27,Gianni Morbidelli,Minardi Lamborghini,1:21.246
21,28,Jyrki Jarvilehto,Dallara Ferrari,1:21.288
23,29,Alessandro Zanardi,Minardi Lamborghini,1:21.756
