,Position,Driver,Car,Lap,Time
6,1,Jacques Villeneuve,Williams Renault,48,1:18.610
9,2,Olivier Panis,Ligier Mugen Honda,38,1:18.712
5,3,Damon Hill,Williams Renault,57,1:18.938
4,4,Gerhard Berger,Benetton Renault,48,1:19.206
3,5,Jean Alesi,Benetton Renault,27,1:19.378
7,6,Mika Hakkinen,McLaren Mercedes,59,1:19.632
8,7,David Coulthard,McLaren Mercedes,27,1:19.968
11,8,Rubens Barrichello,Jordan Peugeot,48,1:20.134
12,9,Martin Brundle,Jordan Peugeot,51,1:20.414
19,10,Mika Salo,Tyrrell Yamaha,48,1:20.710
18,11,Ukyo Katayama,Tyrrell Yamaha,27,1:20.989
10,12,Pedro Diniz,Ligier Mugen Honda,7,1:20.997
14,13,Johnny Herbert,Sauber Ford,38,1:21.262
15,14,Heinz-Harald Frentzen,Sauber Ford,29,1:21.273
17,15,Jos Verstappen,Footwork Hart,9,1:21.461
2,16,Eddie Irvine,Ferrari,4,1:21.824
16,17,Ricardo Rosset,Footwork Hart,18,1:22.095
22,18,Luca Badoer,Forti Ford,9,1:22.258
20,19,Pedro Lamy,Minardi Ford,7,1:22.842
21,20,Giancarlo Fisichella,Minardi Ford,2,1:23.448
23,21,Andrea Montermini,Forti Ford,2,1:24.818
