,Position,Driver,Car,Lap,Time
6,1,Jacques Villeneuve,Williams Renault,27,1:33.421
5,2,Damon Hill,Williams Renault,27,1:33.621
1,3,Michael Schumacher,Ferrari,18,1:33.651
2,4,Eddie Irvine,Ferrari,37,1:34.533
4,5,Gerhard Berger,Benetton Renault,26,1:34.757
9,6,Olivier Panis,Ligier Mugen Honda,21,1:34.767
11,7,Rubens Barrichello,Jordan Peugeot,27,1:35.064
19,8,Mika Salo,Tyrrell Yamaha,39,1:35.280
3,9,Jean Alesi,Benetton Renault,8,1:35.519
15,10,Heinz-Harald Frentzen,Sauber Ford,43,1:35.596
7,11,Mika Hakkinen,McLaren Mercedes,49,1:35.843
18,12,Ukyo Katayama,Tyrrell Yamaha,44,1:36.377
16,13,Ricardo Rosset,Footwork Hart,45,1:36.557
17,14,Jos Verstappen,Footwork Hart,13,1:36.649
10,15,Pedro Diniz,Ligier Mugen Honda,24,1:37.024
8,16,David Coulthard,McLaren Mercedes,13,1:37.746
21,17,Giancarlo Fisichella,Minardi Ford,5,1:38.077
20,18,Pedro Lamy,Minardi Ford,4,1:38.784
12,19,Martin Brundle,Jordan Peugeot,1,1:56.481
