,Position,Driver,Car,Time,Laps
6,1,Jacques Villeneuve,Williams Renault,1:32.371,11
5,2,Damon Hill,Williams Renault,1:32.509,11
2,3,Eddie Irvine,Ferrari,1:32.889,12
1,4,Michael Schumacher,Ferrari,1:33.125,11
7,5,Mika Hakkinen,McLaren Mercedes,1:34.054,12
3,6,Jean Alesi,Benetton Renault,1:34.257,12
4,7,Gerhard Berger,Benetton Renault,1:34.344,11
11,8,Rubens Barrichello,Jordan Peugeot,1:34.474,12
15,9,Heinz-Harald Frentzen,Sauber Ford,1:34.494,11
19,10,Mika Salo,Tyrrell Yamaha,1:34.832,12
9,11,Olivier Panis,Ligier Mugen Honda,1:35.330,12
17,12,Jos Verstappen,Footwork Hart,1:35.338,11
8,13,David Coulthard,McLaren Mercedes,1:35.351,12
14,14,Johnny Herbert,Sauber Ford,1:35.453,12
18,15,Ukyo Katayama,Tyrrell Yamaha,1:35.715,12
21,16,Giancarlo Fisichella,Minardi Ford,1:35.898,5
20,17,Pedro Lamy,Minardi Ford,1:36.109,12
16,18,Ricardo Rosset,Footwork Hart,1:36.198,12
12,19,Martin Brundle,Jordan Peugeot,1:36.286,12
10,20,Pedro Diniz,Ligier Mugen Honda,1:36.298,12
22,21,Luca Badoer,Forti Ford,1:39.202,11
23,22,Andrea Montermini,Forti Ford,1:42.087,4
