,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
4,1,Lando Norris,McLaren Mercedes,55,1:14.693,160.834,17:50:21
22,2,Yuki Tsunoda,AlphaTauri RBPT,61,1:15.334,159.465,17:59:29
14,3,Fernando Alonso,Alpine Renault,50,1:15.882,158.314,17:44:03
11,4,Sergio Perez,Red Bull Racing RBPT,46,1:16.028,158.010,17:38:05
1,5,Max Verstappen,Red Bull Racing RBPT,47,1:16.052,157.960,17:39:26
16,6,Charles Leclerc,Ferrari,46,1:16.249,157.552,17:38:11
55,7,Carlos Sainz,Ferrari,47,1:16.421,157.197,17:39:24
63,8,George Russell,Mercedes,42,1:16.830,156.360,17:33:07
44,9,Lewis Hamilton,Mercedes,51,1:17.203,155.605,17:45:23
10,10,Pierre Gasly,AlphaTauri RBPT,61,1:17.344,155.321,17:58:30
3,11,Daniel Ricciardo,McLaren Mercedes,59,1:17.532,154.945,17:55:57
5,12,Sebastian Vettel,Aston Martin Aramco Mercedes,54,1:17.558,154.893,17:49:23
31,13,Esteban Ocon,Alpine Renault,50,1:17.571,154.867,17:44:08
77,14,Valtteri Bottas,Alfa Romeo Ferrari,57,1:17.600,154.809,17:53:15
18,15,Lance Stroll,Aston Martin Aramco Mercedes,56,1:17.672,154.665,17:52:05
23,16,Alexander Albon,Williams Mercedes,40,1:18.023,153.969,17:31:11
24,17,Guanyu Zhou,Alfa Romeo Ferrari,52,1:18.200,153.621,17:47:01
6,18,Nicholas Latifi,Williams Mercedes,43,1:18.579,152.880,17:35:05
47,19,Mick Schumacher,Haas Ferrari,24,1:24.778,141.701,16:46:27
20,20,Kevin Magnussen,Haas Ferrari,18,1:33.754,128.135,16:36:37
