,Position,Driver,Car,Lap,Time
2,1,Nigel Mansell,Ferrari,64,1:08.012
12,2,Martin Donnelly,Lotus Lamborghini,69,1:08.023
1,3,Alain Prost,Ferrari,72,1:08.212
19,4,Alessandro Nannini,Benetton Ford,66,1:08.214
16,5,Ivan Capelli,Leyton House Judd,62,1:08.373
27,6,Ayrton Senna,McLaren Honda,59,1:08.573
11,7,Derek Warwick,Lotus Lamborghini,77,1:08.882
3,8,Satoru Nakajima,Tyrrell Ford,60,1:08.916
6,9,Riccardo Patrese,Williams Renault,51,1:08.922
15,10,Mauricio Gugelmin,Leyton House Judd,47,1:08.983
20,11,Nelson Piquet,Benetton Ford,70,1:09.135
28,12,Gerhard Berger,McLaren Honda,73,1:09.206
9,13,Michele Alboreto,Arrows Ford,67,1:09.314
22,14,Andrea de Cesaris,Dallara Ford,53,1:09.583
30,15,Aguri Suzuki,Lola Lamborghini,59,1:09.720
26,16,Philippe Alliot,Ligier Ford,41,1:09.752
18,17,Yannick Dalmas,AGS Ford,63,1:09.877
29,18,Eric Bernard,Lola Lamborghini,31,1:09.895
8,19,Stefano Modena,Brabham Judd,77,1:09.934
4,20,Jean Alesi,Tyrrell Ford,22,1:10.265
25,21,Nicola Larini,Ligier Ford,74,1:10.374
5,22,Thierry Boutsen,Williams Renault,7,1:10.837
7,23,David Brabham,Brabham Judd,57,1:11.110
10,24,Alex Caffi,Arrows Ford,16,1:11.242
23,25,Pierluigi Martini,Minardi Ford,36,1:11.406
21,26,Emanuele Pirro,Dallara Ford,4,1:12.275
