,Position,Driver,Car,Laps,Time,Points
6,1,Giancarlo Fisichella,Renault,57,1:24:17.336,10
2,2,Rubens Barrichello,Ferrari,57,+5.553s,8
5,3,Fernando Alonso,Renault,57,+6.712s,6
14,4,David Coulthard,RBR Cosworth,57,+16.131s,5
7,5,Mark Webber,Williams BMW,57,+16.908s,4
10,6,Juan Pablo Montoya,McLaren Mercedes,57,+35.033s,3
15,7,Christian Klien,RBR Cosworth,57,+38.997s,2
9,8,Kimi Räikkönen,McLaren Mercedes,57,+39.633s,1
16,9,Jarno Trulli,Toyota,57,+63.108s,0
12,10,Felipe Massa,Sauber Petronas,57,+64.393s,0
3,11,Jenson Button,BAR Honda,56,DNF,0
17,12,Ralf Schumacher,Toyota,56,+1 lap,0
11,13,Jacques Villeneuve,Sauber Petronas,56,+1 lap,0
4,14,Takuma Sato,BAR Honda,55,DNF,0
19,15,Narain Karthikeyan,Jordan Toyota,55,+2 laps,0
18,16,Tiago Monteiro,Jordan Toyota,55,+2 laps,0
20,17,Patrick Friesacher ,Minardi Cosworth,53,+4 laps,0
1,NC,Michael Schumacher,Ferrari,42,DNF,0
8,NC,Nick Heidfeld,Williams BMW,42,DNF,0
21,NC,Christijan Albers,Minardi Cosworth,16,DNF,0
