,Position,Driver,Car,Time,Laps
6,1,Giancarlo Fisichella,Renault,3:01.460,6
16,2,Jarno Trulli,Toyota,3:04.429,6
7,3,Mark Webber,Williams BMW,3:04.996,6
11,4,Jacques Villeneuve,Sauber Petronas,3:06.846,6
14,5,David Coulthard,RBR Cosworth,3:07.212,6
15,6,Christian Klien,RBR Cosworth,3:07.477,6
8,7,Nick Heidfeld,Williams BMW,3:09.130,6
3,8,Jenson Button,BAR Honda,3:12.128,6
10,9,Juan Pablo Montoya,McLaren Mercedes,3:14.645,6
9,10,Kimi Räikkönen,McLaren Mercedes,3:15.558,6
2,11,Rubens Barrichello,Ferrari,3:16.822,6
19,12,Narain Karthikeyan,Jordan Toyota,3:17.092,6
5,13,Fernando Alonso,Renault,3:17.466,6
18,14,Tiago Monteiro,Jordan Toyota,3:20.329,6
17,15,Ralf Schumacher,Toyota,3:22.717,6
20,16,Patrick Friesacher ,Minardi Cosworth,3:28.363,6
21,17,Christijan Albers,Minardi Cosworth,1:49.230,3
1,18,Michael Schumacher,Ferrari,1:57.931,4
4,19,Takuma Sato,BAR Honda,,2
12,20,Felipe Massa,Sauber Petronas,,2
