,Position,Driver,Car,Laps,Time,Points
6,1,Mario Andretti,Ferrari,79,1:47:35.500,9
9,2,Jackie Stewart,Tyrrell Ford,79,+20.900s,6
5,3,Clay Regazzoni,Ferrari,79,+31.400s,4
3,4,Reine   Wisell,Lotus Ford,79,+69.400s,3
19,5,Chris Amon,Matra,78,+1 lap,2
11,6,Denny Hulme,McLaren Ford,78,+1 lap,1
28,7,Brian   Redman,Surtees Ford,78,+1 lap,0
4,8,Jacky Ickx,Ferrari,78,+1 lap,0
14,9,Graham Hill,Brabham Ford,77,+2 laps,0
7,10,Ronnie Peterson,March Ford,77,+2 laps,0
22,11,Henri Pescarolo,March Ford,77,+2 laps,0
21,12,Rolf Stommelen,Surtees Ford,77,+2 laps,0
8,13,Andrea de Adamich ,March Alfa Romeo,75,+4 laps,0
2,NC,Emerson Fittipaldi,Lotus Ford,58,DNF,0
20,NC,John Surtees,Surtees Ford,56,DNF,0
10,NC,Francois  Cevert ,Tyrrell Ford,45,DNF,0
27,NC,Howden  Ganley ,BRM,42,DNF,0
16,NC,Pedro Rodriguez,BRM,33,DNF,0
17,NC,Jo Siffert,BRM,31,DNF,0
15,NC,Dave Charlton,Brabham Ford,31,DNF,0
24,NC,John Love,March Ford,30,DNF,0
25,NC,Jackie Pretorius,Brabham Ford,22,DNF,0
12,NC,Peter  Gethin ,McLaren Ford,7,DNF,0
23,NC,Jo Bonnier,McLaren Ford,5,DNF,0
26,NC,Alex  Soler-Roig ,March Ford,5,DNF,0
