,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:40.478,1:38.516,1:38.481,16
3,2,Lewis Hamilton,McLaren Mercedes,1:39.782,1:38.434,1:38.622,15
4,3,Jenson Button,McLaren Mercedes,1:40.227,1:39.097,1:38.631,14
2,4,Mark Webber,Red Bull Racing Renault,1:40.167,1:38.821,1:38.858,19
5,5,Fernando Alonso,Ferrari,1:41.380,1:39.058,1:39.058,16
6,6,Felipe Massa,Ferrari,1:41.592,1:39.623,1:39.695,20
8,7,Nico Rosberg,Mercedes,1:41.120,1:39.420,1:39.773,17
7,8,Michael Schumacher,Mercedes,1:42.605,1:40.554,1:40.662,18
14,9,Adrian Sutil,Force India Mercedes,1:40.595,1:40.205,1:40.768,17
15,10,Paul di Resta,Force India Mercedes,1:41.064,1:40.414,DNF,15
17,11,Sergio Perez,Sauber Ferrari,1:41.311,1:40.874,,18
10,12,Vitaly Petrov,Renault,1:40.955,1:40.919,,18
18,13,Sebastien Buemi,STR Ferrari,1:41.737,1:41.009,,15
9,14,Bruno Senna,Renault,1:41.391,1:41.079,,15
19,15,Jaime Alguersuari,STR Ferrari,1:41.386,1:41.162,,16
16,16,Kamui Kobayashi,Sauber Ferrari,1:41.613,1:41.240,,17
12,17,Pastor Maldonado,Williams Cosworth,1:42.258,1:41.760,,13
20,18,Heikki Kovalainen,Lotus Renault,1:42.979,,,11
21,19,Jarno Trulli,Lotus Renault,1:43.884,,,11
24,20,Timo Glock,Virgin Cosworth,1:44.515,,,9
22,21,Daniel Ricciardo,HRT Cosworth,1:44.641,,,9
25,22,Jerome d'Ambrosio,Virgin Cosworth,1:44.699,,,8
23,23,Vitantonio Liuzzi,HRT Cosworth,1:45.159,,,8
