,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Mark Webber,Red Bull Racing Renault,51,1:42.612,194.854
4,2,Jenson Button,McLaren Mercedes,51,1:43.154,193.830
3,3,Lewis Hamilton,McLaren Mercedes,51,1:43.461,193.255
16,4,Kamui Kobayashi,Sauber Ferrari,47,1:43.521,193.143
10,5,Vitaly Petrov,Renault,52,1:43.673,192.860
5,6,Fernando Alonso,Ferrari,41,1:43.914,192.412
8,7,Nico Rosberg,Mercedes,55,1:43.993,192.266
19,8,Jaime Alguersuari,STR Ferrari,47,1:44.093,192.082
15,9,Paul di Resta,Force India Mercedes,49,1:44.120,192.032
6,10,Felipe Massa,Ferrari,51,1:44.288,191.722
11,11,Rubens Barrichello,Williams Cosworth,50,1:44.438,191.447
17,12,Sergio Perez,Sauber Ferrari,41,1:44.566,191.213
12,13,Pastor Maldonado,Williams Cosworth,52,1:44.628,191.099
14,14,Adrian Sutil,Force India Mercedes,53,1:44.709,190.952
7,15,Michael Schumacher,Mercedes,48,1:44.916,190.575
9,16,Bruno Senna,Renault,32,1:46.150,188.359
20,17,Heikki Kovalainen,Lotus Renault,50,1:46.610,187.547
18,18,Sebastien Buemi,STR Ferrari,17,1:47.094,186.699
21,19,Jarno Trulli,Lotus Renault,36,1:47.444,186.091
24,20,Timo Glock,Virgin Cosworth,42,1:48.085,184.987
22,21,Daniel Ricciardo,HRT Cosworth,35,1:48.274,184.664
23,22,Vitantonio Liuzzi,HRT Cosworth,52,1:49.242,183.028
25,23,Jerome d'Ambrosio,Virgin Cosworth,16,1:51.196,179.812
