,Position,Driver,Car,Time / Gap
11,1,Alain Prost,McLaren Honda,1:23.706
12,2,Ayrton Senna,McLaren Honda,+0.422s
20,3,Thierry Boutsen,Benetton Ford,+0.882s
1,4,Nelson Piquet,Lotus Honda,+0.919s
27,5,Michele Alboreto,Ferrari,+1.005s
14,6,Philippe Streiff,AGS Ford,+1.180s
18,7,Eddie  Cheever,Arrows Megatron,+1.416s
19,8,Alessandro Nannini,Benetton Ford,+1.724s
5,9,Nigel Mansell,Williams Judd,+1.813s
22,10,Andrea de Cesaris,Rial Ford,+1.834s
17,11,Derek Warwick,Arrows Megatron,+1.859s
6,12,Riccardo Patrese,Williams Judd,+1.922s
30,13,Philippe Alliot,Lola Ford,+2.402s
33,14,Stefano Modena,Euro Brun Ford,+2.425s
25,15,Rene Arnoux,Ligier Judd,+2.441s
15,16,Mauricio Gugelmin,March Judd,+2.606s
32,17,Oscar Larrauri,Euro Brun Ford,+2.643s
23,18,Adrian Campos,Minardi Ford,+2.907s
16,19,Ivan Capelli,March Judd,+2.972s
3,20,Jonathan  Palmer,Tyrrell Ford,+3.077s
24,21,Luis Perez-Sala,Minardi Ford,+3.180s
4,22,Julian Bailey,Tyrrell Ford,+3.190s
26,23,Stefan Johansson,Ligier Judd,+3.937s
2,24,Satoru Nakajima,Lotus Honda,+3.957s
10,25,Bernd Schneider,Zakspeed,+4.021s
28,26,Gerhard Berger,Ferrari,+4.076s
31,27,Gabriele Tarquini,Coloni Ford,+4.262s
9,28,Piercarlo Ghinzani,Zakspeed,+4.262s
21,29,Nicola Larini,Osella,+4.364s
29,30,Yannick Dalmas,Lola Ford,+6.122s
