,Position,Driver,Car,Lap,Time
12,1,Ayrton Senna,McLaren Honda,53,1:24.973
11,2,Alain Prost,McLaren Honda,46,1:25.045
20,3,Thierry Boutsen,Benetton Ford,42,1:26.193
14,4,Philippe Streiff,AGS Ford,41,1:26.554
19,5,Alessandro Nannini,Benetton Ford,13,1:26.713
28,6,Gerhard Berger,Ferrari,6,1:26.947
1,7,Nelson Piquet,Lotus Honda,36,1:27.038
30,8,Philippe Alliot,Lola Ford,65,1:27.068
22,9,Andrea de Cesaris,Rial Ford,28,1:27.224
5,10,Nigel Mansell,Williams Judd,25,1:27.275
27,11,Michele Alboreto,Ferrari,5,1:27.282
24,12,Luis Perez-Sala,Minardi Ford,54,1:27.316
33,13,Stefano Modena,Euro Brun Ford,65,1:27.549
16,14,Ivan Capelli,March Judd,61,1:27.614
3,15,Jonathan  Palmer,Tyrrell Ford,43,1:28.108
6,16,Riccardo Patrese,Williams Judd,27,1:28.175
31,17,Gabriele Tarquini,Coloni Ford,50,1:28.206
17,18,Derek Warwick,Arrows Megatron,47,1:28.234
25,19,Rene Arnoux,Ligier Judd,26,1:28.586
15,20,Mauricio Gugelmin,March Judd,49,1:28.750
26,21,Stefan Johansson,Ligier Judd,24,1:28.850
18,22,Eddie  Cheever,Arrows Megatron,11,1:29.115
9,23,Piercarlo Ghinzani,Zakspeed,49,1:29.202
2,24,Satoru Nakajima,Lotus Honda,30,1:29.317
32,25,Oscar Larrauri,Euro Brun Ford,5,1:30.049
