,Position,Driver,Car,Time / Gap
11,1,Alain Prost,McLaren Honda,1:24.046
28,2,Gerhard Berger,Ferrari,+0.943s
12,3,Ayrton Senna,McLaren Honda,+0.982s
19,4,Alessandro Nannini,Benetton Ford,+1.272s
20,5,Thierry Boutsen,Benetton Ford,+1.992s
5,6,Nigel Mansell,Williams Judd,+2.103s
18,7,Eddie  Cheever,Arrows Megatron,+2.435s
27,8,Michele Alboreto,Ferrari,+2.730s
6,9,Riccardo Patrese,Williams Judd,+2.731s
17,10,Derek Warwick,Arrows Megatron,+3.087s
1,11,Nelson Piquet,Lotus Honda,+3.112s
33,12,Stefano Modena,Euro Brun Ford,+3.228s
14,13,Philippe Streiff,AGS Ford,+3.280s
22,14,Andrea de Cesaris,Rial Ford,+3.380s
30,15,Philippe Alliot,Lola Ford,+3.415s
29,16,Yannick Dalmas,Lola Ford,+3.504s
16,17,Ivan Capelli,March Judd,+3.799s
32,18,Oscar Larrauri,Euro Brun Ford,+3.866s
2,19,Satoru Nakajima,Lotus Honda,+3.949s
3,20,Jonathan  Palmer,Tyrrell Ford,+4.111s
15,21,Mauricio Gugelmin,March Judd,+4.291s
25,22,Rene Arnoux,Ligier Judd,+4.362s
23,23,Adrian Campos,Minardi Ford,+4.580s
31,24,Gabriele Tarquini,Coloni Ford,+4.663s
24,25,Luis Perez-Sala,Minardi Ford,+4.804s
36,26,Alex Caffi,Dallara Ford,+5.057s
9,27,Piercarlo Ghinzani,Zakspeed,+5.417s
4,28,Julian Bailey,Tyrrell Ford,+5.426s
10,29,Bernd Schneider,Zakspeed,+5.444s
26,30,Stefan Johansson,Ligier Judd,+5.546s
21,31,Nicola Larini,Osella,+8.060s
