,Position,Driver,Car,Time
12,1,Ayrton Senna,McLaren Honda,1:21.681
11,2,Alain Prost,McLaren Honda,1:21.863
28,3,Gerhard Berger,Ferrari,1:22.719
27,4,Michele Alboreto,Ferrari,1:23.296
19,5,Alessandro Nannini,Benetton Ford,1:23.968
1,6,Nelson Piquet,Lotus Honda,1:23.995
20,7,Thierry Boutsen,Benetton Ford,1:24.115
18,8,Eddie  Cheever,Arrows Megatron,1:24.679
5,9,Nigel Mansell,Williams Judd,1:24.844
14,10,Philippe Streiff,AGS Ford,1:24.968
6,11,Riccardo Patrese,Williams Judd,1:24.971
22,12,Andrea de Cesaris,Rial Ford,1:24.988
2,13,Satoru Nakajima,Lotus Honda,1:25.373
16,14,Ivan Capelli,March Judd,1:25.609
33,15,Stefano Modena,Euro Brun Ford,1:25.713
17,16,Derek Warwick,Arrows Megatron,1:25.740
30,17,Philippe Alliot,Lola Ford,1:25.765
15,18,Mauricio Gugelmin,March Judd,1:25.910
3,19,Jonathan  Palmer,Tyrrell Ford,1:26.092
25,20,Rene Arnoux,Ligier Judd,1:26.327
24,21,Luis Perez-Sala,Minardi Ford,1:26.437
9,22,Piercarlo Ghinzani,Zakspeed,1:26.784
4,23,Julian Bailey,Tyrrell Ford,1:27.139
32,24,Oscar Larrauri,Euro Brun Ford,1:27.321
26,25,Stefan Johansson,Ligier Judd,1:27.637
31,26,Gabriele Tarquini,Coloni Ford,1:27.665
23,27,Adrian Campos,Minardi Ford,1:27.885
21,28,Nicola Larini,Osella,1:27.981
29,29,Yannick Dalmas,Lola Ford,1:28.012
10,30,Bernd Schneider,Zakspeed,1:28.215
