,Position,Driver,Car,Time / Gap,Laps
5,1,Ralf Schumacher,Williams BMW,1:33.969,31
6,2,Juan Pablo Montoya,Williams BMW,+0.332s,25
4,3,David Coulthard,McLaren Mercedes,+0.593s,19
1,4,Michael Schumacher,Ferrari,+0.742s,17
8,5,Jenson Button,Benetton Renault,+0.766s,21
11,6,Jarno Trulli,Jordan Honda,+0.940s,11
16,7,Nick Heidfeld,Sauber Petronas,+1.068s,18
3,8,Mika Hakkinen,McLaren Mercedes,+1.074s,15
2,9,Rubens Barrichello,Ferrari,+1.253s,16
10,10,Jacques Villeneuve,BAR Honda,+1.488s,26
22,11,Heinz-Harald Frentzen,Prost Acer,+1.514s,26
17,12,Kimi Räikkönen,Sauber Petronas,+1.703s,15
12,13,Jean Alesi,Jordan Honda,+1.750s,13
9,14,Olivier Panis,BAR Honda,+2.082s,26
18,15,Eddie Irvine,Jaguar Cosworth,+2.091s,27
7,16,Giancarlo Fisichella,Benetton Renault,+2.145s,32
19,17,Pedro de la Rosa,Jaguar Cosworth,+2.175s,25
23,18,Tomas Enge,Prost Acer,+3.277s,28
21,19,Fernando Alonso,Minardi European,+3.460s,27
15,20,Enrique Bernoldi,Arrows Asiatech,+3.545s,23
14,21,Jos Verstappen,Arrows Asiatech,+3.836s,22
20,22,Alex Yoong,Minardi European,+4.870s,24
