,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:32.484,9
6,2,Juan Pablo Montoya,Williams BMW,1:33.184,12
5,3,Ralf Schumacher,Williams BMW,1:33.297,12
2,4,Rubens Barrichello,Ferrari,1:33.323,11
3,5,Mika Hakkinen,McLaren Mercedes,1:33.662,11
7,6,Giancarlo Fisichella,Benetton Renault,1:33.830,11
4,7,David Coulthard,McLaren Mercedes,1:33.916,11
11,8,Jarno Trulli,Jordan Honda,1:34.002,12
8,9,Jenson Button,Benetton Renault,1:34.375,12
16,10,Nick Heidfeld,Sauber Petronas,1:34.386,12
12,11,Jean Alesi,Jordan Honda,1:34.420,12
17,12,Kimi Räikkönen,Sauber Petronas,1:34.581,11
18,13,Eddie Irvine,Jaguar Cosworth,1:34.851,11
10,14,Jacques Villeneuve,BAR Honda,1:35.109,12
22,15,Heinz-Harald Frentzen,Prost Acer,1:35.132,11
19,16,Pedro de la Rosa,Jaguar Cosworth,1:35.639,12
9,17,Olivier Panis,BAR Honda,1:35.766,12
21,18,Fernando Alonso,Minardi European,1:36.410,11
23,19,Tomas Enge,Prost Acer,1:36.446,10
15,20,Enrique Bernoldi,Arrows Asiatech,1:36.885,12
14,21,Jos Verstappen,Arrows Asiatech,1:36.973,11
20,22,Alex Yoong,Minardi European,1:38.246,11
