,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:30.139,6
2,2,Rubens Barrichello,Ferrari,1:30.530,6
3,3,Juan Pablo Montoya,Williams BMW,1:30.581,6
4,4,Ralf Schumacher,Williams BMW,1:30.633,6
10,5,Takuma Sato,BAR Honda,1:30.827,6
9,6,Jenson Button,BAR Honda,1:30.856,6
7,7,Jarno Trulli,Renault,1:30.971,6
17,8,Olivier Panis,Toyota,1:31.686,6
16,9,Cristiano da Matta,Toyota,1:31.717,6
5,10,David Coulthard,McLaren Mercedes,1:31.719,6
11,11,Giancarlo Fisichella,Sauber Petronas,1:31.731,6
15,12,Christian Klien,Jaguar Cosworth,1:32.332,6
12,13,Felipe Massa,Sauber Petronas,1:32.536,6
14,14,Mark Webber,Jaguar Cosworth,1:32.625,6
18,15,Nick Heidfeld,Jordan Ford,1:33.506,6
19,16,Giorgio Pantano,Jordan Ford,1:34.105,6
8,17,Fernando Alonso,Renault,1:34.130,6
20,18,Gianmaria Bruni,Minardi Cosworth,1:34.584,6
21,19,Zsolt Baumgartner,Minardi Cosworth,1:35.787,6
6,20,Kimi Räikkönen,McLaren Mercedes,1:30.353,4
