,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Michael Schumacher,Ferrari,7,1:30.252,216.074
8,2,Fernando Alonso,Renault,39,1:30.654,215.116
4,3,Ralf Schumacher,Williams BMW,56,1:30.781,214.815
2,4,Rubens Barrichello,Ferrari,29,1:30.876,214.591
9,5,Jenson Button,BAR Honda,24,1:30.960,214.393
3,6,Juan Pablo Montoya,Williams BMW,28,1:30.977,214.353
10,7,Takuma Sato,BAR Honda,55,1:31.101,214.061
7,8,Jarno Trulli,Renault,24,1:31.421,213.312
5,9,David Coulthard,McLaren Mercedes,19,1:31.861,212.290
14,10,Mark Webber,Jaguar Cosworth,19,1:32.277,211.333
16,11,Cristiano da Matta,Toyota,23,1:32.319,211.237
11,12,Giancarlo Fisichella,Sauber Petronas,40,1:32.329,211.214
17,13,Olivier Panis,Toyota,22,1:32.401,211.049
15,14,Christian Klien,Jaguar Cosworth,38,1:32.533,210.748
12,15,Felipe Massa,Sauber Petronas,44,1:32.690,210.391
18,16,Nick Heidfeld,Jordan Ford,56,1:33.284,209.051
6,17,Kimi Räikkönen,McLaren Mercedes,7,1:33.527,208.508
19,18,Giorgio Pantano,Jordan Ford,9,1:34.032,207.388
21,19,Zsolt Baumgartner,Minardi Cosworth,24,1:34.555,206.241
20,20,Gianmaria Bruni,Minardi Cosworth,40,1:35.130,204.995
