,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
1,1,Max Verstappen,Red Bull Racing RBPT,62,1:07.275,231.063,16:17:22
16,2,Charles Leclerc,Ferrari,62,1:07.583,230.010,16:17:19
14,3,Fernando Alonso,Alpine Renault,62,1:08.558,226.739,16:18:42
55,4,Carlos Sainz,Ferrari,55,1:08.649,226.438,16:08:29
44,5,Lewis Hamilton,Mercedes,63,1:09.000,225.286,16:19:02
63,6,George Russell,Mercedes,61,1:09.075,225.042,16:17:00
77,7,Valtteri Bottas,Alfa Romeo Ferrari,61,1:09.266,224.421,16:17:25
4,8,Lando Norris,McLaren Mercedes,62,1:09.304,224.298,16:18:21
24,9,Guanyu Zhou,Alfa Romeo Ferrari,50,1:09.380,224.053,16:04:04
31,10,Esteban Ocon,Alpine Renault,62,1:09.559,223.476,16:18:10
47,11,Mick Schumacher,Haas Ferrari,50,1:09.625,223.264,16:03:34
23,12,Alexander Albon,Williams Mercedes,60,1:09.669,223.123,16:16:14
3,13,Daniel Ricciardo,McLaren Mercedes,61,1:09.924,222.309,16:17:17
20,14,Kevin Magnussen,Haas Ferrari,61,1:09.938,222.265,16:17:11
5,15,Sebastian Vettel,Aston Martin Aramco Mercedes,62,1:10.001,222.065,16:18:51
22,16,Yuki Tsunoda,AlphaTauri RBPT,62,1:10.023,221.995,16:18:50
18,17,Lance Stroll,Aston Martin Aramco Mercedes,64,1:10.048,221.916,16:21:05
10,18,Pierre Gasly,AlphaTauri RBPT,61,1:10.104,221.739,16:17:33
6,19,Nicholas Latifi,Williams Mercedes,14,1:10.890,219.280,15:20:33
11,20,Sergio Perez,Red Bull Racing RBPT,5,1:11.843,216.371,15:10:13
