,Position,Driver,Car,Time
5,1,Mario Andretti,Lotus Ford,1:25.404
7,2,John Watson,Brabham Alfa Romeo,1:25.545
1,3,James Hunt,McLaren Ford,1:25.626
20,4,Jody Scheckter,Wolf Ford,1:25.681
8,5,Hans-Joachim Stuck,Brabham Alfa Romeo,1:26.127
4,6,Patrick Depailler,Tyrrell Ford,1:26.209
6,7,Gunnar Nilsson,Lotus Ford,1:26.227
26,8,Jacques Laffite,Ligier Matra,1:26.259
2,9,Jochen Mass,McLaren Ford,1:26.380
3,10,Ronnie Peterson,Tyrrell Ford,1:26.383
17,11,Alan  Jones,Shadow Ford,1:26.529
12,12,Carlos Reutemann,Ferrari,1:26.542
19,13,Vittorio Brambilla,Surtees Ford,1:26.573
22,14,Clay Regazzoni,Ensign Ford,1:26.616
11,15,Niki Lauda,Ferrari,1:26.826
16,16,Jackie Oliver,Shadow Ford,1:27.492
34,17,Jean-Pierre Jarier,Penske Ford,1:27.537
28,18,Emerson Fittipaldi,Fittipaldi Ford,1:27.620
31,19,David Purley,LEC Ford,1:27.716
27,20,Patrick Neve,,1:27.758
10,21,Ian Scheckter,March Ford,1:27.806
30,22,Brett Lunger,McLaren Ford,1:28.205
25,23,Harald Ertl,Hesketh Ford,1:28.377
24,24,Rupert Keegan,Hesketh Ford,1:28.404
