,Position,Driver,Car,Laps,Time,Points
26,1,Jacques Laffite,Ligier Matra,72,1:46:55.520,9
2,2,Jochen Mass,McLaren Ford,72,+8.449s,6
12,3,Carlos Reutemann,Ferrari,72,+14.367s,4
4,4,Patrick Depailler,Tyrrell Ford,72,+16.308s,3
7,5,John Watson,Brabham Alfa Romeo,72,+18.735s,2
5,6,Mario Andretti,Lotus Ford,72,+25.277s,1
22,7,Clay Regazzoni,Ensign Ford,72,+31.266s,0
34,8,Jean-Pierre Jarier,Penske Ford,72,+64.567s,0
16,9,Jackie Oliver,Shadow Ford,72,+82.479s,0
8,10,Hans-Joachim Stuck,Brabham Alfa Romeo,71,+1 lap,0
30,11,Brett Lunger,McLaren Ford,71,+1 lap,0
1,12,James Hunt,McLaren Ford,71,+1 lap,0
24,13,Rupert Keegan,Hesketh Ford,71,+1 lap,0
31,14,David Purley,LEC Ford,70,+2 laps,0
27,15,Patrick Neve,,69,+3 laps,0
25,16,Harald Ertl,Hesketh Ford,68,+4 laps,0
17,17,Alan  Jones,Shadow Ford,67,+5 laps,0
28,18,Emerson Fittipaldi,Fittipaldi Ford,66,+6 laps,0
6,19,Gunnar Nilsson,Lotus Ford,64,DNF,0
10,NC,Ian Scheckter,March Ford,61,DNF,0
19,NC,Vittorio Brambilla,Surtees Ford,52,DNF,0
11,NC,Niki Lauda,Ferrari,47,DNF,0
20,NC,Jody Scheckter,Wolf Ford,29,DNF,0
3,NC,Ronnie Peterson,Tyrrell Ford,7,DNF,0
