,Position,Driver,Car,Q1,Q2,Q3,Laps
77,1,Valtteri Bottas,Mercedes,1:04.111,1:03.015,1:02.939,19
44,2,Lewis Hamilton,Mercedes,1:04.198,1:03.096,1:02.951,21
33,3,Max Verstappen,Red Bull Racing Honda,1:04.024,1:04.000,1:03.477,23
4,4,Lando Norris,McLaren Renault,1:04.606,1:03.819,1:03.626,17
23,5,Alexander Albon,Red Bull Racing Honda,1:04.661,1:03.746,1:03.868,18
11,6,Sergio Perez,Racing Point BWT Mercedes,1:04.543,1:03.860,1:03.868,19
16,7,Charles Leclerc,Ferrari,1:04.500,1:04.041,1:03.923,20
55,8,Carlos Sainz,McLaren Renault,1:04.537,1:03.971,1:03.971,18
18,9,Lance Stroll,Racing Point BWT Mercedes,1:04.309,1:03.955,1:04.029,17
3,10,Daniel Ricciardo,Renault,1:04.556,1:04.023,1:04.239,15
5,11,Sebastian Vettel,Ferrari,1:04.554,1:04.206,,13
10,12,Pierre Gasly,AlphaTauri Honda,1:04.603,1:04.305,,14
26,13,Daniil Kvyat,AlphaTauri Honda,1:05.031,1:04.431,,14
31,14,Esteban Ocon,Renault,1:04.933,1:04.643,,12
8,15,Romain Grosjean,Haas Ferrari,1:05.094,1:04.691,,14
20,16,Kevin Magnussen,Haas Ferrari,1:05.164,,,8
63,17,George Russell,Williams Mercedes,1:05.167,,,10
99,18,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:05.175,,,8
7,19,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:05.224,,,9
6,20,Nicholas Latifi,Williams Mercedes,1:05.757,,,12
