,Position,Driver,Car,Lap,Time
1,1,Michael Schumacher,Ferrari,14,1:45.517
11,2,Rubens Barrichello,Jordan Peugeot,40,1:47.735
17,3,Jos Verstappen,Footwork Hart,29,1:48.302
3,4,Jean Alesi,Benetton Renault,61,1:48.509
6,5,Jacques Villeneuve,Williams Renault,63,1:48.707
14,6,Johnny Herbert,Sauber Ford,13,1:48.846
15,7,Heinz-Harald Frentzen,Sauber Ford,12,1:48.955
12,8,Martin Brundle,Jordan Peugeot,14,1:49.026
4,9,Gerhard Berger,Benetton Renault,14,1:49.097
7,10,Mika Hakkinen,McLaren Mercedes,55,1:49.771
10,11,Pedro Diniz,Ligier Mugen Honda,13,1:50.636
5,12,Damon Hill,Williams Renault,10,1:50.987
19,13,Mika Salo,Tyrrell Yamaha,12,1:51.734
18,14,Ukyo Katayama,Tyrrell Yamaha,8,1:55.116
2,15,Eddie Irvine,Ferrari,1,1:59.611
