,Position,Driver,Car,Lap,Time
1,1,Michael Schumacher,Benetton Renault,51,1:20.921
5,2,Damon Hill,Williams Renault,25,1:20.982
6,3,David Coulthard,Williams Renault,39,1:21.543
8,4,Mika Hakkinen,McLaren Mercedes,35,1:22.495
28,5,Gerhard Berger,Ferrari,30,1:22.679
9,6,Gianni Morbidelli,Footwork Hart,61,1:22.818
4,7,Mika Salo,Tyrrell Yamaha,25,1:22.979
2,8,Johnny Herbert,Benetton Renault,18,1:23.009
25,9,Aguri Suzuki,Ligier Mugen Honda,25,1:23.049
27,10,Jean Alesi,Ferrari,16,1:23.207
7,11,Mark Blundell,McLaren Mercedes,38,1:23.252
14,12,Rubens Barrichello,Jordan Peugeot,13,1:23.346
15,13,Eddie Irvine,Jordan Peugeot,11,1:23.355
3,14,Ukyo Katayama,Tyrrell Yamaha,4,1:23.718
30,15,Heinz-Harald Frentzen,Sauber Ford,10,1:24.087
29,16,Karl Wendlinger,Sauber Ford,23,1:24.387
12,17,Jos Verstappen,Simtek Ford,3,1:26.017
24,18,Luca Badoer,Minardi Ford,13,1:26.349
10,19,Taki Inoue,Footwork Hart,34,1:26.470
16,20,Bertrand Gachot,Pacific Ilmor,22,1:26.826
17,21,Andrea Montermini,Pacific Ilmor,7,1:27.447
22,22,Roberto Moreno,Forti Ford,31,1:27.829
11,23,Domenico Schiattarella,Simtek Ford,9,1:28.467
21,24,Pedro Diniz,Forti Ford,49,1:28.811
