,Position,Driver,Car,Laps,Time,Points
11,1,Richie Ginther,Honda,65,2:08:32.100,9
8,2,Dan Gurney,Brabham Climax,65,+2.890s,6
6,3,Mike Spence,Lotus Climax,65,+60.150s,4
16,4,Jo Siffert,Brabham BRM,65,+114.420s,3
12,5,Ronnie Bucknum,Honda,64,+1 lap,2
21,6,Richard Attwood,Lotus BRM,64,+1 lap,1
14,7,Pedro Rodriguez,Ferrari,62,+3 laps,0
2,8,Lorenzo Bandini,Ferrari,62,+3 laps,0
3,NC,Graham Hill,BRM,56,DNF,0
18,NC,Moises Solana,Lotus Climax,55,DNF,0
15,NC,Jo Bonnier,Brabham Climax,43,DNF,0
10,NC,Jochen Rindt,Cooper Climax,39,DNF,0
7,NC,Jack Brabham,Brabham Climax,38,DNF,0
4,NC,Jackie Stewart,BRM,35,DNF,0
22,NC,Bob Bondurant,Lotus BRM,29,DNF,0
9,NC,Bruce McLaren,Cooper Climax,25,DNF,0
5,NC,Jim Clark,Lotus Climax,8,DNF,0
