,Position,Driver,Car,Time / Gap
27,1,Ayrton Senna,McLaren Honda,1:21.357
20,2,Nelson Piquet,Benetton Ford,+0.575s
28,3,Gerhard Berger,McLaren Honda,+0.577s
6,4,Riccardo Patrese,Williams Renault,+0.751s
19,5,Alessandro Nannini,Benetton Ford,+0.757s
1,6,Alain Prost,Ferrari,+0.928s
2,7,Nigel Mansell,Ferrari,+1.183s
5,8,Thierry Boutsen,Williams Renault,+1.324s
8,9,Stefano Modena,Brabham Judd,+2.458s
11,10,Derek Warwick,Lotus Lamborghini,+2.539s
22,11,Andrea de Cesaris,Dallara Ford,+3.088s
14,12,Olivier Grouillard,Osella Ford,+3.225s
26,13,Philippe Alliot,Ligier Ford,+3.487s
30,14,Aguri Suzuki,Lola Lamborghini,+3.493s
33,15,Roberto Moreno,Euro Brun Judd,+3.641s
12,16,Martin Donnelly,Lotus Lamborghini,+3.730s
10,17,Alex Caffi,Arrows Ford,+3.772s
29,18,Eric Bernard,Lola Lamborghini,+3.789s
21,19,Emanuele Pirro,Dallara Ford,+3.836s
9,20,Michele Alboreto,Arrows Ford,+3.909s
35,21,Gregor Foitek,Onyx Ford,+4.012s
4,22,Jean Alesi,Tyrrell Ford,+4.035s
25,23,Nicola Larini,Ligier Ford,+4.232s
3,24,Satoru Nakajima,Tyrrell Ford,+4.276s
36,25,Jyrki Jarvilehto,Onyx Ford,+4.396s
23,26,Pierluigi Martini,Minardi Ford,+4.407s
16,27,Ivan Capelli,Leyton House Judd,+4.451s
7,28,David Brabham,Brabham Judd,+5.836s
15,29,Mauricio Gugelmin,Leyton House Judd,+6.592s
24,30,Paolo Barilla,Minardi Ford,+7.469s
