,Position,Driver,Car,Time / Gap
2,1,Nigel Mansell,Ferrari,1:37.159
1,2,Alain Prost,Ferrari,+0.142s
6,3,Riccardo Patrese,Williams Renault,+0.162s
11,4,Derek Warwick,Lotus Lamborghini,+0.294s
5,5,Thierry Boutsen,Williams Renault,+0.712s
27,6,Ayrton Senna,McLaren Honda,+1.269s
12,7,Martin Donnelly,Lotus Lamborghini,+1.377s
20,8,Nelson Piquet,Benetton Ford,+2.042s
26,9,Philippe Alliot,Ligier Ford,+2.367s
19,10,Alessandro Nannini,Benetton Ford,+2.904s
28,11,Gerhard Berger,McLaren Honda,+3.027s
22,12,Andrea de Cesaris,Dallara Ford,+3.424s
3,13,Satoru Nakajima,Tyrrell Ford,+3.435s
30,14,Aguri Suzuki,Lola Lamborghini,+3.749s
7,15,David Brabham,Brabham Judd,+3.934s
9,16,Michele Alboreto,Arrows Ford,+4.587s
36,17,Jyrki Jarvilehto,Onyx Ford,+4.909s
14,18,Olivier Grouillard,Osella Ford,+4.949s
8,19,Stefano Modena,Brabham Judd,+5.145s
25,20,Nicola Larini,Ligier Ford,+5.166s
23,21,Pierluigi Martini,Minardi Ford,+5.374s
4,22,Jean Alesi,Tyrrell Ford,+5.561s
10,23,Alex Caffi,Arrows Ford,+6.379s
24,24,Paolo Barilla,Minardi Ford,+6.574s
21,25,Emanuele Pirro,Dallara Ford,+6.639s
29,26,Eric Bernard,Lola Lamborghini,+7.201s
35,27,Gregor Foitek,Onyx Ford,+8.729s
16,28,Ivan Capelli,Leyton House Judd,+15.044s
