,Position,Driver,Car,Time
33,1,Roberto Moreno,Euro Brun Judd,1:28.268
27,1,Ayrton Senna,McLaren Honda,1:20.399
28,2,Gerhard Berger,McLaren Honda,1:20.465
14,2,Olivier Grouillard,Osella Ford,1:28.589
1,3,Alain Prost,Ferrari,1:20.826
30,3,Aguri Suzuki,Lola Lamborghini,1:29.372
29,4,Eric Bernard,Lola Lamborghini,1:29.844
19,4,Alessandro Nannini,Benetton Ford,1:21.302
20,5,Nelson Piquet,Benetton Ford,1:21.568
17,5,Gabriele Tarquini,AGS Ford,1:29.855
5,6,Thierry Boutsen,Williams Renault,1:21.599
18,6,Yannick Dalmas,AGS Ford,1:30.460
31,7,Bertrand Gachot,Coloni Subaru,1:44.185
2,7,Nigel Mansell,Ferrari,1:21.641
4,8,Jean Alesi,Tyrrell Ford,1:21.748
34,8,Claudio Langes,Euro Brun Judd,1:47.118
39,9,Bruno Giacomelli,Life,1:50.253
6,9,Riccardo Patrese,Williams Renault,1:22.018
8,10,Stefano Modena,Brabham Judd,1:22.660
11,11,Derek Warwick,Lotus Lamborghini,1:22.673
12,12,Martin Donnelly,Lotus Lamborghini,1:22.703
3,13,Satoru Nakajima,Tyrrell Ford,1:23.605
9,14,Michele Alboreto,Arrows Ford,1:23.744
23,16,Pierluigi Martini,Minardi Ford,1:23.795
26,17,Philippe Alliot,Ligier Ford,1:23.899
21,19,Emanuele Pirro,Dallara Ford,1:24.269
25,20,Nicola Larini,Ligier Ford,1:24.285
35,21,Gregor Foitek,Onyx Ford,1:24.397
36,22,Jyrki Jarvilehto,Onyx Ford,1:24.425
16,24,Ivan Capelli,Leyton House Judd,1:24.554
22,25,Andrea de Cesaris,Dallara Ford,1:24.621
10,26,Alex Caffi,Arrows Ford,1:25.113
15,28,Mauricio Gugelmin,Leyton House Judd,1:25.712
24,29,Paolo Barilla,Minardi Ford,1:25.951
7,30,David Brabham,Brabham Judd,1:26.771
