,Position,Driver,Car,Lap,Time
28,1,Gerhard Berger,McLaren Honda,70,1:22.077
2,2,Nigel Mansell,Ferrari,63,1:22.839
20,3,Nelson Piquet,Benetton Ford,58,1:22.854
1,4,Alain Prost,Ferrari,63,1:23.078
27,5,Ayrton Senna,McLaren Honda,63,1:23.375
30,6,Aguri Suzuki,Lola Lamborghini,66,1:24.678
10,7,Alex Caffi,Arrows Ford,61,1:24.770
4,8,Jean Alesi,Tyrrell Ford,19,1:24.781
11,9,Derek Warwick,Lotus Lamborghini,52,1:24.948
12,10,Martin Donnelly,Lotus Lamborghini,49,1:25.430
19,11,Alessandro Nannini,Benetton Ford,21,1:25.545
6,12,Riccardo Patrese,Williams Renault,26,1:25.566
29,13,Eric Bernard,Lola Lamborghini,50,1:25.571
8,14,Stefano Modena,Brabham Judd,63,1:25.693
16,15,Ivan Capelli,Leyton House Judd,61,1:25.846
22,16,Andrea de Cesaris,Dallara Ford,43,1:26.158
35,17,Gregor Foitek,Onyx Ford,46,1:26.177
5,18,Thierry Boutsen,Williams Renault,19,1:26.486
3,19,Satoru Nakajima,Tyrrell Ford,51,1:26.703
26,20,Philippe Alliot,Ligier Ford,22,1:27.373
14,21,Olivier Grouillard,Osella Ford,44,1:28.108
36,22,Jyrki Jarvilehto,Onyx Ford,25,1:29.032
25,23,Nicola Larini,Ligier Ford,15,1:34.545
9,24,Michele Alboreto,Arrows Ford,10,1:39.464
21,25,Emanuele Pirro,Dallara Ford,10,1:40.699
