,Position,Driver,Car,Laps,Time,Points
12,1,Gilles Villeneuve,Ferrari,59,1:52:17.734,9
16,2,Rene Arnoux,Renault,59,+48.787s,6
3,3,Didier Pironi,Tyrrell Ford,59,+53.199s,4
18,4,Elio de Angelis,Shadow Ford,59,+90.512s,3
9,5,Hans-Joachim Stuck,ATS Ford,59,+101.259s,2
7,6,John Watson,McLaren Ford,58,+1 lap,1
14,7,Emerson Fittipaldi,Fittipaldi Ford,54,+5 laps,0
6,8,Nelson Piquet,Brabham Ford,53,DNF,0
33,NC,Derek Daly,Tyrrell Ford,52,DNF,0
11,NC,Jody Scheckter,Ferrari,48,DNF,0
29,NC,Riccardo Patrese,Arrows Ford,44,DNF,0
27,NC,Alan  Jones,Williams Ford,36,DNF,0
22,NC,Marc Surer,Ensign Ford,32,DNF,0
28,NC,Clay Regazzoni,Williams Ford,29,DNF,0
5,NC,Ricardo Zunino,Brabham Ford,25,DNF,0
15,NC,Jean-Pierre Jabouille,Renault,24,DNF,0
8,NC,Patrick Tambay,McLaren Ford,20,DNF,0
20,NC,Keke Rosberg,Wolf Ford,20,DNF,0
4,NC,Jean-Pierre Jarier,Tyrrell Ford,18,DNF,0
1,NC,Mario Andretti,Lotus Ford,16,DNF,0
2,NC,Carlos Reutemann,Lotus Ford,6,DNF,0
26,NC,Jacques Laffite,Ligier Ford,3,DNF,0
25,NC,Jacky Ickx,Ligier Ford,2,DNF,0
35,NC,Bruno Giacomelli,Alfa Romeo,0,DNF,0
