,Position,Driver,Car,Q1,Q2,Q3,Laps
18,1,Lance Stroll,Racing Point BWT Mercedes,2:07.467,1:53.372,1:47.765,22
33,2,Max Verstappen,Red Bull Racing Honda,1:57.485,1:50.293,1:48.055,26
11,3,Sergio Perez,Racing Point BWT Mercedes,2:07.614,1:54.097,1:49.321,21
23,4,Alexander Albon,Red Bull Racing Honda,1:59.431,1:52.282,1:50.448,26
3,5,Daniel Ricciardo,Renault,2:05.598,1:54.278,1:51.595,26
44,6,Lewis Hamilton,Mercedes,2:07.599,1:52.709,1:52.560,23
31,7,Esteban Ocon,Renault,2:06.115,1:53.657,1:52.622,26
7,8,Kimi Räikkönen,Alfa Romeo Racing Ferrari,2:01.249,1:53.793,1:52.745,27
77,9,Valtteri Bottas,Mercedes,2:07.001,1:53.767,1:53.258,23
99,10,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,2:07.341,1:53.431,1:57.226,26
4,11,Lando Norris,McLaren Renault,2:07.167,1:54.945,,18
5,12,Sebastian Vettel,Ferrari,2:03.356,1:55.169,,18
55,13,Carlos Sainz,McLaren Renault,2:07.489,1:55.410,,18
16,14,Charles Leclerc,Ferrari,2:04.464,1:56.696,,18
10,15,Pierre Gasly,AlphaTauri Honda,2:05.579,1:58.556,,17
20,16,Kevin Magnussen,Haas Ferrari,2:08.007,,,10
26,17,Daniil Kvyat,AlphaTauri Honda,2:09.070,,,8
63,18,George Russell,Williams Mercedes,2:10.017,,,9
8,19,Romain Grosjean,Haas Ferrari,2:12.909,,,7
6,20,Nicholas Latifi,Williams Mercedes,2:21.611,,,9
