,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
4,1,Lando Norris,McLaren Renault,58,1:36.806,198.508,14:56:47
77,2,Valtteri Bottas,Mercedes,57,1:38.193,195.704,14:56:38
33,3,Max Verstappen,Red Bull Racing Honda,53,1:38.431,195.231,14:48:07
55,4,Carlos Sainz,McLaren Renault,56,1:38.754,194.592,14:53:01
23,5,Alexander Albon,Red Bull Racing Honda,54,1:39.099,193.915,14:49:49
44,6,Lewis Hamilton,Mercedes,56,1:39.413,193.302,14:52:26
10,7,Pierre Gasly,AlphaTauri Honda,53,1:39.586,192.966,14:49:17
5,8,Sebastian Vettel,Ferrari,53,1:39.662,192.819,14:47:58
7,9,Kimi Räikkönen,Alfa Romeo Racing Ferrari,57,1:39.743,192.663,14:57:08
18,10,Lance Stroll,Racing Point BWT Mercedes,55,1:39.921,192.319,14:51:51
16,11,Charles Leclerc,Ferrari,47,1:39.961,192.242,14:37:47
11,12,Sergio Perez,Racing Point BWT Mercedes,50,1:40.392,191.417,14:42:44
3,13,Daniel Ricciardo,Renault,54,1:40.677,190.875,14:50:33
63,14,George Russell,Williams Mercedes,51,1:40.814,190.616,14:47:03
20,15,Kevin Magnussen,Haas Ferrari,45,1:40.948,190.363,14:38:09
31,16,Esteban Ocon,Renault,55,1:41.006,190.254,14:52:22
26,17,Daniil Kvyat,AlphaTauri Honda,53,1:41.019,190.229,14:49:04
8,18,Romain Grosjean,Haas Ferrari,38,1:43.281,186.063,14:24:48
6,19,Nicholas Latifi,Williams Mercedes,32,1:43.495,185.678,14:15:40
99,20,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,11,1:51.122,172.934,13:35:39
