,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,58,1:42:19.313,25
11,2,Sergio Perez,Racing Point BWT Mercedes,58,+31.633s,18
5,3,Sebastian Vettel,Ferrari,58,+31.960s,15
16,4,Charles Leclerc,Ferrari,58,+33.858s,12
55,5,Carlos Sainz,McLaren Renault,58,+34.363s,10
33,6,Max Verstappen,Red Bull Racing Honda,58,+44.873s,8
23,7,Alexander Albon,Red Bull Racing Honda,58,+46.484s,6
4,8,Lando Norris,McLaren Renault,58,+61.259s,5
18,9,Lance Stroll,Racing Point BWT Mercedes,58,+72.353s,2
3,10,Daniel Ricciardo,Renault,58,+95.460s,1
31,11,Esteban Ocon,Renault,57,+1 lap,0
26,12,Daniil Kvyat,AlphaTauri Honda,57,+1 lap,0
10,13,Pierre Gasly,AlphaTauri Honda,57,+1 lap,0
77,14,Valtteri Bottas,Mercedes,57,+1 lap,0
7,15,Kimi Räikkönen,Alfa Romeo Racing Ferrari,57,+1 lap,0
63,16,George Russell,Williams Mercedes,57,+1 lap,0
20,17,Kevin Magnussen,Haas Ferrari,55,DNF,0
8,NC,Romain Grosjean,Haas Ferrari,49,DNF,0
6,NC,Nicholas Latifi,Williams Mercedes,39,DNF,0
99,NC,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,11,DNF,0
