,Position,Driver,Car,Laps,Time,Points
3,1,Jacques Villeneuve,Williams Renault,67,1:31:27.843,10
7,2,Jean Alesi,Benetton Renault,67,+11.770s,6
4,3,Heinz-Harald Frentzen,Williams Renault,67,+13.480s,4
8,4,Gerhard Berger,Benetton Renault,67,+16.416s,3
2,5,Pedro Diniz,Arrows Yamaha,67,+43.147s,2
14,6,Olivier Panis,Prost Mugen Honda,67,+43.750s,1
16,7,Johnny Herbert,Sauber Petronas,67,+44.354s,0
1,8,Damon Hill,Arrows Yamaha,67,+44.777s,0
17,9,Gianni Morbidelli,Sauber Petronas,66,+1 lap,0
19,10,Mika Salo,Tyrrell Ford,66,+1 lap,0
18,NC,Jos Verstappen,Tyrrell Ford,50,DNF,0
9,NC,Mika Hakkinen,McLaren Mercedes,43,DNF,0
22,NC,Rubens Barrichello,Stewart Ford,43,DNF,0
10,NC,David Coulthard,McLaren Mercedes,42,DNF,0
23,NC,Jan Magnussen,Stewart Ford,40,DNF,0
6,NC,Eddie Irvine,Ferrari,22,DNF,0
15,NC,Shinji Nakano,Prost Mugen Honda,16,DNF,0
5,NC,Michael Schumacher,Ferrari,2,DNF,0
21,NC,Tarso Marques,Minardi Hart,1,DNF,0
20,NC,Ukyo Katayama,Minardi Hart,1,DNF,0
11,NC,Ralf Schumacher,Jordan Peugeot,0,DNF,0
12,NC,Giancarlo Fisichella,Jordan Peugeot,0,DNF,0
