,Position,Driver,Car,Time / Gap,Laps
4,1,Heinz-Harald Frentzen,Williams Renault,1:17.158,30
9,2,Mika Hakkinen,McLaren Mercedes,+0.062s,21
12,3,Giancarlo Fisichella,Jordan Peugeot,+0.232s,30
3,4,Jacques Villeneuve,Williams Renault,+0.237s,26
5,5,Michael Schumacher,Ferrari,+0.409s,26
8,6,Gerhard Berger,Benetton Renault,+0.620s,29
22,7,Rubens Barrichello,Stewart Ford,+0.620s,30
10,8,David Coulthard,McLaren Mercedes,+0.726s,12
11,9,Ralf Schumacher,Jordan Peugeot,+0.790s,28
16,10,Johnny Herbert,Sauber Petronas,+0.795s,30
14,11,Olivier Panis,Prost Mugen Honda,+0.948s,30
23,12,Jan Magnussen,Stewart Ford,+1.009s,24
1,13,Damon Hill,Arrows Yamaha,+1.022s,30
7,14,Jean Alesi,Benetton Renault,+1.075s,23
2,15,Pedro Diniz,Arrows Yamaha,+1.630s,29
15,16,Shinji Nakano,Prost Mugen Honda,+1.873s,30
6,17,Eddie Irvine,Ferrari,+1.981s,16
19,18,Mika Salo,Tyrrell Ford,+2.332s,29
21,19,Tarso Marques,Minardi Hart,+2.451s,29
20,20,Ukyo Katayama,Minardi Hart,+2.725s,29
18,21,Jos Verstappen,Tyrrell Ford,+2.906s,29
17,22,Gianni Morbidelli,Sauber Petronas,+3.098s,22
