,Position,Driver,Car,Time,Laps
9,1,Mika Hakkinen,McLaren Mercedes,1:16.602,11
3,2,Jacques Villeneuve,Williams Renault,1:16.691,10
4,3,Heinz-Harald Frentzen,Williams Renault,1:16.741,12
12,4,Giancarlo Fisichella,Jordan Peugeot,1:17.289,11
5,5,Michael Schumacher,Ferrari,1:17.385,11
10,6,David Coulthard,McLaren Mercedes,1:17.387,12
8,7,Gerhard Berger,Benetton Renault,1:17.587,9
11,8,Ralf Schumacher,Jordan Peugeot,1:17.595,11
22,9,Rubens Barrichello,Stewart Ford,1:17.614,12
7,10,Jean Alesi,Benetton Renault,1:17.620,11
14,11,Olivier Panis,Prost Mugen Honda,1:17.650,11
23,12,Jan Magnussen,Stewart Ford,1:17.722,11
1,13,Damon Hill,Arrows Yamaha,1:17.795,12
6,14,Eddie Irvine,Ferrari,1:17.855,12
2,15,Pedro Diniz,Arrows Yamaha,1:18.128,11
16,16,Johnny Herbert,Sauber Petronas,1:18.303,10
15,17,Shinji Nakano,Prost Mugen Honda,1:18.699,12
21,18,Tarso Marques,Minardi Hart,1:19.347,12
17,19,Gianni Morbidelli,Sauber Petronas,1:19.490,12
19,20,Mika Salo,Tyrrell Ford,1:19.526,12
18,21,Jos Verstappen,Tyrrell Ford,1:19.531,12
20,22,Ukyo Katayama,Minardi Hart,1:20.615,11
