,Position,Driver,Car,Time
9,1,Mika Hakkinen,McLaren Mercedes,1:16.602
3,2,Jacques Villeneuve,Williams Renault,1:16.691
4,3,Heinz-Harald Frentzen,Williams Renault,1:16.741
12,4,Giancarlo Fisichella,Jordan Peugeot,1:17.289
5,5,Michael Schumacher,Ferrari,1:17.385
10,6,David Coulthard,McLaren Mercedes,1:17.387
8,7,Gerhard Berger,Benetton Renault,1:17.587
11,8,Ralf Schumacher,Jordan Peugeot,1:17.595
22,9,Rubens Barrichello,Stewart Ford,1:17.614
7,10,Jean Alesi,Benetton Renault,1:17.620
14,11,Olivier Panis,Prost Mugen Honda,1:17.650
23,12,Jan Magnussen,Stewart Ford,1:17.722
1,13,Damon Hill,Arrows Yamaha,1:17.795
6,14,Eddie Irvine,Ferrari,1:17.855
2,15,Pedro Diniz,Arrows Yamaha,1:18.128
16,16,Johnny Herbert,Sauber Petronas,1:18.303
15,17,Shinji Nakano,Prost Mugen Honda,1:18.699
21,18,Tarso Marques,Minardi Hart,1:19.347
17,19,Gianni Morbidelli,Sauber Petronas,1:19.490
19,20,Mika Salo,Tyrrell Ford,1:19.526
18,21,Jos Verstappen,Tyrrell Ford,1:19.531
20,22,Ukyo Katayama,Minardi Hart,1:20.615
