,Position,Driver,Car,Lap,Time
4,1,Heinz-Harald Frentzen,Williams Renault,32,1:18.805
9,2,Mika Hakkinen,McLaren Mercedes,27,1:19.576
7,3,Jean Alesi,Benetton Renault,65,1:19.716
3,4,Jacques Villeneuve,Williams Renault,31,1:19.838
10,5,David Coulthard,McLaren Mercedes,23,1:19.920
8,6,Gerhard Berger,Benetton Renault,61,1:19.996
1,7,Damon Hill,Arrows Yamaha,64,1:20.407
16,8,Johnny Herbert,Sauber Petronas,33,1:20.518
22,9,Rubens Barrichello,Stewart Ford,25,1:20.737
17,10,Gianni Morbidelli,Sauber Petronas,31,1:20.865
14,11,Olivier Panis,Prost Mugen Honda,29,1:21.086
2,12,Pedro Diniz,Arrows Yamaha,25,1:21.262
23,13,Jan Magnussen,Stewart Ford,32,1:21.448
6,14,Eddie Irvine,Ferrari,13,1:21.793
15,15,Shinji Nakano,Prost Mugen Honda,14,1:21.969
19,16,Mika Salo,Tyrrell Ford,26,1:21.996
18,17,Jos Verstappen,Tyrrell Ford,30,1:22.455
5,18,Michael Schumacher,Ferrari,2,1:29.314
21,19,Tarso Marques,Minardi Hart,1,1:36.826
20,20,Ukyo Katayama,Minardi Hart,1,3:00.630
