,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:19.748
2,2,Gerhard Berger,McLaren Honda,+0.203s
6,3,Riccardo Patrese,Williams Renault,+0.793s
1,4,Ayrton Senna,McLaren Honda,+0.828s
19,5,Michael Schumacher,Benetton Ford,+1.505s
22,6,Jyrki Jarvilehto,Dallara Judd,+1.667s
20,7,Nelson Piquet,Benetton Ford,+1.767s
4,8,Stefano Modena,Tyrrell Honda,+2.167s
15,9,Mauricio Gugelmin,Leyton House Ilmor,+2.207s
16,10,Ivan Capelli,Leyton House Ilmor,+2.235s
8,11,Mark Blundell,Brabham Yamaha,+2.282s
33,12,Andrea de Cesaris,Jordan Ford,+2.295s
24,13,Gianni Morbidelli,Minardi Ferrari,+2.971s
28,14,Jean Alesi,Ferrari,+2.992s
23,15,Pierluigi Martini,Minardi Ferrari,+2.995s
27,16,Alain Prost,Ferrari,+3.038s
3,17,Satoru Nakajima,Tyrrell Honda,+3.073s
32,18,Alessandro Zanardi,Jordan Ford,+3.335s
7,19,Martin Brundle,Brabham Yamaha,+3.431s
9,20,Michele Alboreto,Footwork Porsche,+3.452s
26,21,Erik Comas,Ligier Lamborghini,+3.492s
29,22,Eric Bernard,Lola Ford,+3.539s
30,23,Aguri Suzuki,Lola Ford,+3.569s
21,24,Emanuele Pirro,Dallara Judd,+4.494s
14,25,Gabriele Tarquini,Fondmetal Ford,+4.702s
25,26,Thierry Boutsen,Ligier Lamborghini,+5.509s
11,27,Mika Hakkinen,Lotus Judd,+5.886s
12,28,Michael Bartels,Lotus Judd,+6.460s
34,29,Nicola Larini,Lambo Lamborghini,+6.533s
35,30,Eric van de Poele,Lambo Lamborghini,+7.523s
