,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Fernando Alonso,McLaren Mercedes,1:20.425,1:19.661,1:19.674,17
2,2,Lewis Hamilton,McLaren Mercedes,1:19.570,1:19.301,1:19.781,17
9,3,Nick Heidfeld,Sauber BMW,1:20.751,1:20.322,1:20.259,22
6,4,Kimi Räikkönen,Ferrari,1:20.435,1:20.107,1:20.410,19
16,5,Nico Rosberg,Williams Toyota,1:20.547,1:20.188,1:20.632,22
11,6,Ralf Schumacher,Toyota,1:20.449,1:20.455,1:20.714,24
10,7,Robert Kubica,Sauber BMW,1:20.366,1:20.703,1:20.876,23
3,8,Giancarlo Fisichella,Renault,1:21.645,1:20.590,1:21.079,25
12,9,Jarno Trulli,Toyota,1:20.481,1:19.951,1:21.206,20
15,10,Mark Webber,Red Bull Renault,1:20.794,1:20.439,1:21.256,22
14,11,David Coulthard,Red Bull Renault,1:21.291,1:20.718,,12
4,12,Heikki Kovalainen,Renault,1:20.285,1:20.779,,12
17,13,Alexander Wurz,Williams Toyota,1:21.243,1:20.865,,18
5,14,Felipe Massa,Ferrari,1:20.408,1:21.021,,9
23,15,Anthony Davidson,Super Aguri Honda,1:21.018,1:21.127,,12
18,16,Vitantonio Liuzzi,STR Ferrari,1:21.730,1:21.993,,16
7,17,Jenson Button,Honda,1:21.737,,,6
8,18,Rubens Barrichello,Honda,1:21.877,,,6
22,19,Takuma Sato,Super Aguri Honda,1:22.143,,,6
19,20,Sebastian Vettel,STR Ferrari,1:22.177,,,7
20,21,Adrian Sutil,Spyker Ferrari,1:22.737,,,9
21,22,Sakon Yamamoto,Spyker Ferrari,1:23.774,,,7
