,Position,Driver,Car,Time,Laps
3,1,Michael Schumacher,Ferrari,1:15.632,8
2,2,David Coulthard,McLaren Mercedes,1:15.734,10
4,3,Rubens Barrichello,Ferrari,1:16.047,12
1,4,Mika Hakkinen,McLaren Mercedes,1:16.050,12
9,5,Ralf Schumacher,Williams BMW,1:16.291,12
7,6,Eddie Irvine,Jaguar Cosworth,1:16.399,12
22,7,Jacques Villeneuve,BAR Honda,1:16.653,11
5,8,Heinz-Harald Frentzen,Jordan Mugen Honda,1:16.658,12
6,9,Jarno Trulli,Jordan Mugen Honda,1:16.669,11
10,10,Jenson Button,Williams BMW,1:16.905,11
8,11,Johnny Herbert,Jaguar Cosworth,1:17.176,12
17,12,Mika Salo,Sauber Petronas,1:17.223,12
18,13,Pedro de la Rosa,Arrows Supertec,1:17.279,10
11,14,Giancarlo Fisichella,Benetton Playlife,1:17.317,12
16,15,Pedro Diniz,Sauber Petronas,1:17.361,12
15,16,Nick Heidfeld,Prost Peugeot,1:17.374,12
12,17,Alexander Wurz,Benetton Playlife,1:17.408,12
14,18,Jean Alesi,Prost Peugeot,1:17.569,12
23,19,Ricardo Zonta,BAR Honda,1:17.668,10
19,20,Jos Verstappen,Arrows Supertec,1:17.933,12
20,21,Marc Gene,Minardi Fondmetal,1:18.130,11
21,22,Gaston Mazzacane,Minardi Fondmetal,1:18.302,12
