,Position,Driver,Car,Time / Gap,Laps
4,1,Lewis Hamilton,McLaren Mercedes,1:37.106,7
8,2,Nico Rosberg,Mercedes,+1.010s,14
7,3,Michael Schumacher,Mercedes,+1.210s,14
15,4,Sergio Perez,Sauber Ferrari,+1.478s,13
14,5,Kamui Kobayashi,Sauber Ferrari,+1.805s,12
2,6,Mark Webber,Red Bull Racing Renault,+1.871s,15
1,7,Sebastian Vettel,Red Bull Racing Renault,+2.092s,12
3,8,Jenson Button,McLaren Mercedes,+2.093s,6
16,9,Daniel Ricciardo,STR Ferrari,+2.642s,16
17,10,Jean-Eric Vergne,STR Ferrari,+2.662s,14
5,11,Fernando Alonso,Ferrari,+2.950s,14
6,12,Felipe Massa,Ferrari,+3.047s,14
19,13,Valtteri Bottas,Williams Renault,+3.192s,8
12,14,Nico Hulkenberg,Force India Mercedes,+3.222s,13
18,15,Pastor Maldonado,Williams Renault,+3.434s,12
20,16,Heikki Kovalainen,Caterham Renault,+3.965s,14
10,17,Romain Grosjean,Lotus Renault,+4.098s,14
24,18,Timo Glock,Marussia Cosworth,+5.224s,14
21,19,Giedo van der Garde,Caterham Renault,+5.415s,11
11,20,Jules Bianchi,Force India Mercedes,+7.012s,8
22,21,Pedro de la Rosa,HRT Cosworth,+7.121s,10
25,22,Charles Pic,Marussia Cosworth,+7.394s,15
23,23,Narain Karthikeyan,HRT Cosworth,+10.098s,12
9,24,Kimi Räikkönen,Lotus Renault,+13.359s,11
