,Position,Driver,Car,Q1,Q2,Q3,Laps
8,1,Nico Rosberg,Mercedes,1:36.875,1:35.725,1:35.121,11
4,2,Lewis Hamilton,McLaren Mercedes,1:36.763,1:35.902,1:35.626,14
7,3,Michael Schumacher,Mercedes,1:36.797,1:35.794,1:35.691,13
14,4,Kamui Kobayashi,Sauber Ferrari,1:36.863,1:35.853,1:35.784,13
9,5,Kimi Räikkönen,Lotus Renault,1:36.850,1:35.921,1:35.898,15
3,6,Jenson Button,McLaren Mercedes,1:36.746,1:35.942,1:36.191,16
2,7,Mark Webber,Red Bull Racing Renault,1:36.682,1:35.700,1:36.290,14
15,8,Sergio Perez,Sauber Ferrari,1:36.198,1:35.831,1:36.524,17
5,9,Fernando Alonso,Ferrari,1:36.292,1:35.982,1:36.622,17
10,10,Romain Grosjean,Lotus Renault,1:36.343,1:35.903,DNF,15
1,11,Sebastian Vettel,Red Bull Racing Renault,1:36.911,1:36.031,,11
6,12,Felipe Massa,Ferrari,1:36.556,1:36.255,,14
18,13,Pastor Maldonado,Williams Renault,1:36.528,1:36.283,,14
19,14,Bruno Senna,Williams Renault,1:36.674,1:36.289,,14
11,15,Paul di Resta,Force India Mercedes,1:36.639,1:36.317,,14
12,16,Nico Hulkenberg,Force India Mercedes,1:36.921,1:36.745,,14
16,17,Daniel Ricciardo,STR Ferrari,1:36.933,1:36.956,,14
17,18,Jean-Eric Vergne,STR Ferrari,1:37.714,,,8
20,19,Heikki Kovalainen,Caterham Renault,1:38.463,,,9
21,20,Vitaly Petrov,Caterham Renault,1:38.677,,,7
24,21,Timo Glock,Marussia Cosworth,1:39.282,,,10
25,22,Charles Pic,Marussia Cosworth,1:39.717,,,10
22,23,Pedro de la Rosa,HRT Cosworth,1:40.411,,,7
23,24,Narain Karthikeyan,HRT Cosworth,1:41.000,,,10
