,Position,Driver,Car,Laps,Time,Points
5,1,Michael Schumacher,Ferrari,56,1:37:32.747,10
1,2,Fernando Alonso,Renault,56,+3.121s,8
2,3,Giancarlo Fisichella,Renault,56,+44.197s,6
12,4,Jenson Button,Honda,56,+72.056s,5
4,5,Pedro de la Rosa,McLaren Mercedes,56,+77.137s,4
11,6,Rubens Barrichello,Honda,56,+79.131s,3
16,7,Nick Heidfeld,Sauber BMW,56,+91.979s,2
9,8,Mark Webber,Williams Cosworth,56,+103.588s,1
14,9,David Coulthard,RBR Ferrari,56,+103.796s,0
20,10,Vitantonio Liuzzi,STR Cosworth,55,+1 lap,0
10,11,Nico Rosberg,Williams Cosworth,55,+1 lap,0
15,12,Robert Doornbos,RBR Ferrari,55,+1 lap,0
17,13,Robert Kubica,Sauber BMW,55,+1 lap,0
21,14,Scott Speed,STR Cosworth,55,+1 lap,0
19,15,Christijan Albers,MF1 Toyota,53,+3 laps,0
23,16,Sakon Yamamoto,Super Aguri Honda,52,+4 laps,0
7,NC,Ralf Schumacher,Toyota,49,DNF,0
6,NC,Felipe Massa,Ferrari,44,DNF,0
8,NC,Jarno Trulli,Toyota,38,DNF,0
18,NC,Tiago Monteiro,MF1 Toyota,37,DNF,0
3,NC,Kimi Räikkönen,McLaren Mercedes,18,DNF,0
