,Position,Driver,Car,Q1,Q2,Q3,Laps
3,1,Kimi Räikkönen,McLaren Mercedes,1:20.080,1:19.704,1:19.599,17
6,2,Felipe Massa,Ferrari,1:19.742,1:19.504,1:19.886,17
11,3,Rubens Barrichello,Honda,1:21.141,1:19.783,1:20.085,22
12,4,Jenson Button,Honda,1:20.820,1:19.943,1:20.092,22
4,5,Pedro de la Rosa,McLaren Mercedes,1:21.288,1:19.991,1:20.117,19
9,6,Mark Webber,Williams Cosworth,1:21.335,1:20.047,1:20.266,23
7,7,Ralf Schumacher,Toyota,1:21.112,1:20.243,1:20.759,23
2,8,Giancarlo Fisichella,Renault,1:21.370,1:20.154,1:20.924,22
8,9,Jarno Trulli,Toyota,1:21.434,1:20.231,1:21.132,23
17,10,Robert Kubica,Sauber BMW,1:20.891,1:20.256,1:22.049,21
16,11,Nick Heidfeld,Sauber BMW,1:21.437,1:20.623,,10
5,12,Michael Schumacher,Ferrari,1:21.440,1:20.875,,9
14,13,David Coulthard,RBR Ferrari,1:21.163,1:20.890,,11
15,14,Christian Klien,RBR Ferrari,1:22.027,1:21.207,,10
1,15,Fernando Alonso,Renault,1:21.792,1:21.364,,12
18,16,Tiago Monteiro,MF1 Toyota,1:22.009,1:23.767,,9
20,17,Vitantonio Liuzzi,STR Cosworth,1:22.068,,,7
10,18,Nico Rosberg,Williams Cosworth,1:22.084,,,6
21,19,Scott Speed,STR Cosworth,1:22.317,,,8
22,20,Takuma Sato,Super Aguri Honda,1:22.967,,,6
19,21,Christijan Albers,MF1 Toyota,1:23.146,,,6
23,22,Sakon Yamamoto,Super Aguri Honda,1:24.016,,,6
