,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:29.287
6,2,Nico Rosberg,Mercedes,1:29.606
33,3,Max Verstappen,Red Bull Racing TAG Heuer,1:30.313
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:30.618
7,5,Kimi Räikkönen,Ferrari,1:30.881
77,6,Valtteri Bottas,Williams Mercedes,1:31.557
55,7,Carlos Sainz,Toro Rosso Ferrari,1:31.989
27,8,Nico Hulkenberg,Force India Mercedes,1:32.172
14,9,Fernando Alonso,McLaren Honda,1:32.343
11,10,Sergio Perez,Force India Mercedes,1:31.875
5,11,Sebastian Vettel,Ferrari,1:31.490
19,12,Felipe Massa,Williams Mercedes,1:32.002
8,13,Romain Grosjean,Haas Ferrari,1:32.050
21,14,Esteban Gutierrez ,Haas Ferrari,1:32.241
26,15,Daniil Kvyat,Toro Rosso Ferrari,1:32.306
20,16,Kevin Magnussen,Renault,1:37.060
22,17,Jenson Button,McLaren Honda,1:32.788
30,18,Jolyon Palmer,Renault,1:32.905
88,19,Rio Haryanto,MRT Mercedes,1:33.098
94,20,Pascal Wehrlein,MRT Mercedes,1:33.151
12,21,Felipe Nasr,Sauber Ferrari,1:33.544
